Unnamed: 0,model,operation,parameter,location,corr_value
,informer,noise,0.01,1,-0.1452930782849414
,informer,noise,0.05,1,-0.1803428176937233
,informer,noise,0.2,1,-0.1347976391393592
,informer,noise,0.01,2,-0.0899224578963971
,informer,noise,0.05,2,-0.047916937825372
,informer,noise,0.2,2,-0.0681682104383557
,informer,noise,0.01,3,-0.1646961247362972
,informer,noise,0.05,3,-0.1620759734778972
,informer,noise,0.2,3,-0.2144221455328432
,transformer,noise,0.01,1,-0.099784242968373
,transformer,noise,0.05,1,-0.1539708361902994
,transformer,noise,0.2,1,-0.0998431609509699
,transformer,noise,0.01,2,0.0585738444921713
,transformer,noise,0.05,2,-0.0890822680150417
,transformer,noise,0.2,2,-0.0566656174192358
,transformer,noise,0.01,3,-0.1989092465754187
,transformer,noise,0.05,3,-0.3630957635450492
,transformer,noise,0.2,3,-0.0065681391143369
,informer,dropout,0.1,1,-0.0304192604913159
,informer,dropout,0.2,1,-0.061104263458915
,informer,dropout,0.5,1,0.3044672061437845
,informer,dropout,0.1,2,0.5888184272042228
,informer,dropout,0.2,2,0.3882188909588702
,informer,dropout,0.5,2,-2.820013745190688e-05
,informer,dropout,0.1,3,0.2745232985680986
,informer,dropout,0.2,3,0.1272981010938915
,informer,dropout,0.5,3,0.0578546508408674
,transformer,dropout,0.1,1,0.1737402894642844
,transformer,dropout,0.2,1,0.0080051776148986
,transformer,dropout,0.5,1,-0.0914717059721531
,transformer,dropout,0.1,2,-0.013237467193002
,transformer,dropout,0.2,2,-0.1891971812256999
,transformer,dropout,0.5,2,-0.0223282717863086
,transformer,dropout,0.1,3,-0.1171551770359494
,transformer,dropout,0.2,3,-0.0728129288755084
,transformer,dropout,0.5,3,-0.050441591427550184
