conv_layer_no,dropout_rate,output,true_val,setting,input_range
0,0.2,"[-0.944178, -0.98333836, -0.9689543, -1.0110366, -0.98291636, -0.96776783, -0.9754844, -1.0155782, -1.0468237, -1.0315512, -1.0881525, -1.0404389, -1.0338013, -1.0213957, -1.0138539, -1.0402105, -1.0930908, -1.0780469, -1.0575016, -1.0513196, -1.1196138, -1.0651762, -1.0533125, -1.0699414]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.2,"[0, 1]"
0,0.2,"[-0.9639666, -0.9785625, -0.9773463, -0.971637, -0.99227166, -0.98761463, -0.9912704, -0.97235036, -0.97375655, -0.9615058, -1.006663, -1.0323247, -0.99755335, -1.0015541, -1.0039183, -1.0435634, -1.0536028, -1.0589865, -1.060676, -1.0517931, -1.0779245, -1.0446583, -1.058279, -0.96484935]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.2,"[0, 1]"
0,0.2,"[-0.90986073, -0.95130813, -0.95065355, -0.9057687, -0.9279113, -0.9593555, -0.96460176, -1.020634, -0.9461945, -1.0110562, -0.9554478, -0.9894942, -0.99288213, -0.9844881, -0.9832138, -1.0117966, -1.0344076, -1.0523221, -1.0361623, -1.034739, -1.0085697, -1.036553, -1.0362773, -1.0497943]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.2,"[0, 1]"
0,0.2,"[-0.907624, -0.953647, -0.9531695, -0.9255347, -0.9388658, -0.899665, -0.90611416, -0.9363766, -0.95221615, -0.9408947, -1.0159575, -1.0005431, -0.97847116, -0.97986734, -1.0188571, -1.0117881, -1.0012078, -1.0274425, -1.0248443, -1.0400271, -1.0562366, -1.0223598, -1.004172, -1.0086871]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.2,"[0, 1]"
0,0.2,"[-0.9807062, -0.96271014, -0.98560584, -0.9722115, -0.93776435, -0.9680617, -0.93600184, -0.9917555, -0.97512555, -1.005694, -0.9787824, -1.0157386, -0.9785913, -1.0228496, -1.0357059, -0.99991345, -0.97756505, -1.0173522, -1.032795, -1.0440975, -1.0739392, -1.0252739, -1.0695037, -1.0226727]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.2,"[0, 1]"
0,0.2,"[-0.9191812, -0.9769198, -0.94506574, -0.9703468, -0.95163107, -0.9544096, -0.96869063, -0.99817884, -1.010015, -0.95034987, -1.0284008, -1.0465543, -1.006523, -1.0204124, -0.99565506, -1.0413457, -1.0846826, -1.081491, -1.0817772, -1.0800552, -1.0663369, -1.0863849, -1.0724194, -1.0774379]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.2,"[0, 1]"
0,0.2,"[-0.93855864, -0.936752, -0.90713906, -0.92458206, -0.91251683, -0.9220034, -0.8987385, -0.92183423, -0.9607053, -0.9489698, -0.9617969, -0.93809855, -0.9482425, -0.980402, -0.9582025, -1.0429002, -1.0221287, -1.0263221, -1.0233861, -1.0123861, -1.0293839, -0.9943613, -1.0918522, -0.9929899]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.2,"[0, 1]"
0,0.2,"[-0.8886108, -0.8849301, -0.8922948, -0.9029696, -0.86198914, -0.90756345, -0.9054071, -0.9514432, -0.9418856, -0.9229612, -0.94266135, -0.9748113, -1.0061299, -0.9415455, -0.9244577, -0.9528569, -0.994918, -0.9260563, -1.0336051, -1.0053642, -0.9939344, -0.9826789, -0.99916995, -0.8594618]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.2,"[0, 1]"
0,0.2,"[-0.98149204, -0.9472636, -0.94193965, -0.9188614, -0.8599667, -0.92277026, -0.9551947, -0.9143699, -0.94582826, -0.9402865, -1.0035746, -0.92439806, -0.96427083, -0.935393, -0.9168706, -0.9970696, -1.0130042, -1.0020663, -1.0493727, -0.99421847, -0.9981042, -0.9851469, -0.9209911, -0.9433974]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.2,"[0, 1]"
0,0.2,"[-0.9258017, -0.949262, -0.9538604, -0.92032623, -0.95202976, -0.9606383, -0.95471907, -0.9678551, -1.0073564, -0.96850467, -0.9549286, -0.9788414, -0.96373796, -0.9137026, -0.94626963, -1.0123209, -1.0296878, -1.0033195, -1.0202962, -1.0339156, -1.020985, -1.0221893, -0.99000335, -1.0094053]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.2,"[0, 1]"
