conv_layer_no,sigma,output,true_val,input
1,0.01,"[-0.9097586870193481, -0.9161858558654785, -0.917078971862793, -0.9625298976898193, -0.9281015396118164, -0.9516491889953613, -0.9683114290237427, -0.982056736946106, -0.989209771156311, -0.9919323921203613, -0.999242901802063, -1.0096676349639893, -0.9964321851730347, -0.9995315074920654, -1.007381558418274, -1.0217212438583374, -1.0434882640838623, -1.0418579578399658, -1.032060146331787, -1.045131802558899, -1.0379621982574463, -1.0451592206954956, -1.05594003200531, -1.0585334300994873, -1.0094902515411377, -1.0056583881378174, -1.0302226543426514, -1.0096807479858398, -1.0471042394638062, -1.0265278816223145, -1.029732584953308, -1.0294426679611206, -1.0376029014587402, -1.0335698127746582, -1.0385679006576538, -1.0440682172775269, -0.8904880285263062, -0.8955390453338623, -0.9106066226959229, -0.9146361351013184, -0.912321925163269, -0.9055750370025635, -0.9011975526809692, -0.904094934463501, -0.9126663208007812, -0.9004514217376709, -0.8966388702392578, -0.9152318239212036]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
1,0.01,-0.9371179342269897,-0.8853067755699158,1
1,0.01,-0.9498304128646851,-0.8853067755699158,1
1,0.01,-0.9250068664550781,-0.8853067755699158,1
1,0.01,-0.9541480541229248,-0.8853067755699158,1
1,0.01,-0.9471429586410522,-0.8853067755699158,1
1,0.01,-0.9417742490768433,-0.8853067755699158,1
1,0.01,-0.9507092237472534,-0.8853067755699158,1
1,0.01,-0.9224894046783447,-0.8853067755699158,1
1,0.01,-0.9375008344650269,-0.8853067755699158,1
1,0.01,-0.939551591873169,-0.8853067755699158,1
1,0.01,-0.9626693725585938,-0.8853067755699158,1
1,0.01,-0.9274803400039673,-0.8853067755699158,1
1,0.01,-0.9484206438064575,-0.8853067755699158,1
1,0.01,-0.92650306224823,-0.8853067755699158,1
1,0.01,-0.9224363565444946,-0.8853067755699158,1
1,0.01,-0.9456474781036377,-0.8853067755699158,1
1,0.01,-0.9466131925582886,-0.8853067755699158,1
1,0.01,-0.9374054670333862,-0.8853067755699158,1
1,0.01,-0.9327740669250488,-0.8853067755699158,1
1,0.01,-0.9573848247528076,-0.8853067755699158,1
1,0.01,-0.9207925796508789,-0.8853067755699158,1
1,0.01,-0.9229094982147217,-0.8853067755699158,1
1,0.01,-0.9175814390182495,-0.8853067755699158,1
1,0.01,-0.9455282688140869,-0.8853067755699158,1
1,0.01,-0.9254082441329956,-0.8853067755699158,1
1,0.01,-0.9656238555908203,-0.8853067755699158,1
1,0.01,-0.96210777759552,-0.8853067755699158,1
1,0.01,-0.9327172040939331,-0.8853067755699158,1
1,0.01,-0.9366298913955688,-0.8853067755699158,1
1,0.01,-0.9763013124465942,-0.9389422535896301,101
1,0.01,-0.942198634147644,-0.9389422535896301,101
1,0.01,-0.944371223449707,-0.9389422535896301,101
1,0.01,-0.9525876045227051,-0.9389422535896301,101
1,0.01,-0.9350833892822266,-0.9389422535896301,101
1,0.01,-0.9653279781341553,-0.9389422535896301,101
1,0.01,-0.9346334934234619,-0.9389422535896301,101
1,0.01,-0.9940788745880127,-0.9389422535896301,101
1,0.01,-0.970191478729248,-0.9389422535896301,101
1,0.01,-0.930919885635376,-0.9389422535896301,101
1,0.01,-0.9613792896270752,-0.9389422535896301,101
1,0.01,-0.9531033039093018,-0.9389422535896301,101
1,0.01,-0.9551703929901123,-0.9389422535896301,101
1,0.01,-0.9780368804931641,-0.9389422535896301,101
1,0.01,-0.9402254819869995,-0.9389422535896301,101
1,0.01,-0.9426025152206421,-0.9389422535896301,101
1,0.01,-0.9684422016143799,-0.9389422535896301,101
1,0.01,-0.935577392578125,-0.9389422535896301,101
1,0.01,-0.9201909303665161,-0.9389422535896301,101
1,0.01,-0.9816025495529175,-0.9389422535896301,101
1,0.01,-0.964252233505249,-0.9389422535896301,101
1,0.01,-0.9495338201522827,-0.9389422535896301,101
1,0.01,-0.967090368270874,-0.9389422535896301,101
1,0.01,-0.979347825050354,-0.9389422535896301,101
1,0.01,-0.9368363618850708,-0.9389422535896301,101
1,0.01,-0.9675441980361938,-0.9389422535896301,101
1,0.01,-0.9113590717315674,-0.9389422535896301,101
1,0.01,-0.980243444442749,-0.9389422535896301,101
1,0.01,-0.9701000452041626,-0.9389422535896301,101
1,0.01,-0.9580674171447754,-0.9389422535896301,101
1,0.01,-0.8302526473999023,-0.8623045682907104,201
1,0.01,-0.8552466630935669,-0.8623045682907104,201
1,0.01,-0.8213487863540649,-0.8623045682907104,201
1,0.01,-0.8281946182250977,-0.8623045682907104,201
1,0.01,-0.8411697149276733,-0.8623045682907104,201
1,0.01,-0.8416767120361328,-0.8623045682907104,201
1,0.01,-0.7991206645965576,-0.8623045682907104,201
1,0.01,-0.8347502946853638,-0.8623045682907104,201
1,0.01,-0.8180468082427979,-0.8623045682907104,201
1,0.01,-0.8289357423782349,-0.8623045682907104,201
1,0.01,-0.8365212678909302,-0.8623045682907104,201
1,0.01,-0.7923632860183716,-0.8623045682907104,201
1,0.01,-0.8304653167724609,-0.8623045682907104,201
1,0.01,-0.86292564868927,-0.8623045682907104,201
1,0.01,-0.8120776414871216,-0.8623045682907104,201
1,0.01,-0.8194873332977295,-0.8623045682907104,201
1,0.01,-0.8175643682479858,-0.8623045682907104,201
1,0.01,-0.8177845478057861,-0.8623045682907104,201
1,0.01,-0.8122566938400269,-0.8623045682907104,201
1,0.01,-0.8227781057357788,-0.8623045682907104,201
1,0.01,-0.8661695718765259,-0.8623045682907104,201
1,0.01,-0.8354765176773071,-0.8623045682907104,201
1,0.01,-0.8600804805755615,-0.8623045682907104,201
1,0.01,-0.8032275438308716,-0.8623045682907104,201
1,0.01,-0.8451740741729736,-0.8623045682907104,201
1,0.01,-0.8315300941467285,-0.8623045682907104,201
1,0.01,-0.8400845527648926,-0.8623045682907104,201
1,0.01,-0.8741641044616699,-0.8623045682907104,201
1,0.01,-0.810732364654541,-0.8623045682907104,201
1,0.01,-0.819487452507019,-0.8623045682907104,201
1,0.01,-0.7116125822067261,-0.6321735382080078,301
1,0.01,-0.7233099937438965,-0.6321735382080078,301
1,0.01,-0.7174991369247437,-0.6321735382080078,301
1,0.01,-0.7369869947433472,-0.6321735382080078,301
1,0.01,-0.7271596193313599,-0.6321735382080078,301
1,0.01,-0.7254317998886108,-0.6321735382080078,301
1,0.01,-0.6922767162322998,-0.6321735382080078,301
1,0.01,-0.6936492919921875,-0.6321735382080078,301
1,0.01,-0.706200361251831,-0.6321735382080078,301
1,0.01,-0.7460986375808716,-0.6321735382080078,301
