conv_layer_no,pred_len,sigma,output,true_val,input
0,24,0.0,"[-0.767815887928009, -0.8089612126350403, -0.7856581807136536, -0.7788830995559692, -0.7760223746299744, -0.7727785110473633, -0.8789774775505066, -0.8630157113075256, -0.8942845463752747, -0.8858924508094788, -0.8425081968307495, -0.8737692832946777, -0.868408739566803, -0.8629477024078369, -0.8553212285041809, -0.7872456908226013, -0.7667084336280823, -0.785530686378479, -0.7724409103393555, -0.7396784424781799, -0.7390416860580444, -0.7465955018997192, -0.738926887512207, -0.731332540512085]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238]",201
1,24,0.2,"[-0.7968559861183167, -0.7631319761276245, -0.7714932560920715, -0.7743567824363708, -0.7829468846321106, -0.768216609954834, -0.8779874444007874, -0.8579888343811035, -0.8922426104545593, -0.8716312646865845, -0.8343116044998169, -0.8741616010665894, -0.867867112159729, -0.8599761128425598, -0.8513083457946777, -0.7816381454467773, -0.7718692421913147, -0.7864729762077332, -0.7649945616722107, -0.7188255786895752, -0.7412328720092773, -0.7340893149375916, -0.7245162725448608, -0.716806948184967]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238]",201
2,24,0.2,"[-0.8333247900009155, -0.7619455456733704, -0.7986471056938171, -0.7885778546333313, -0.7933298349380493, -0.7798416018486023, -0.8930354714393616, -0.879819393157959, -0.9170834422111511, -0.8904110193252563, -0.8815842270851135, -0.8994869589805603, -0.8817158341407776, -0.8745173811912537, -0.8661832809448242, -0.801102876663208, -0.7866983413696289, -0.802955150604248, -0.7870056629180908, -0.7739552855491638, -0.7543455958366394, -0.7546963691711426, -0.7453237771987915, -0.7381322383880615]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238]",201
3,24,0.2,"[-0.7870644927024841, -0.7776753306388855, -0.8057057857513428, -0.7797712087631226, -0.7885591387748718, -0.7766652703285217, -0.880520761013031, -0.8621113300323486, -0.8919386267662048, -0.8521921634674072, -0.8236656188964844, -0.8842101097106934, -0.8741902112960815, -0.8671095371246338, -0.8606363534927368, -0.7846762537956238, -0.7590936422348022, -0.7867844700813293, -0.7818838953971863, -0.7399857044219971, -0.7626506090164185, -0.757393479347229, -0.747168242931366, -0.7388032674789429]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238]",201
0,48,0.0,"[-0.8791201710700989, -0.8680747747421265, -0.8929197192192078, -0.9173386693000793, -0.9098278880119324, -0.9355800747871399, -0.9223137497901917, -0.930303156375885, -0.9463220238685608, -0.9240259528160095, -0.9245567917823792, -0.9268274307250977, -0.8273853659629822, -0.8173293471336365, -0.8355558514595032, -0.8300155997276306, -0.8340890407562256, -0.8391598463058472, -0.9004321098327637, -0.8525564670562744, -0.8211764097213745, -0.8371325731277466, -0.8425909280776978, -0.8240841031074524, -0.736441433429718, -0.736673891544342, -0.7373182773590088, -0.7481319308280945, -0.7395991683006287, -0.7698898911476135, -0.7488412857055664, -0.7324475646018982, -0.705440878868103, -0.7442942261695862, -0.7577840685844421, -0.7235093712806702, -0.6980670094490051, -0.6855707168579102, -0.6798838973045349, -0.7011784911155701, -0.6868008375167847, -0.6719003319740295, -0.680452823638916, -0.6870699524879456, -0.6763486266136169, -0.66898113489151, -0.6668121218681335, -0.6605113744735718]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375]",201
1,48,0.2,"[-0.8994792103767395, -0.8823481798171997, -0.851570188999176, -0.8990411162376404, -0.9028897881507874, -0.9249882698059082, -0.9156719446182251, -0.9216635823249817, -0.9221019744873047, -0.9185841679573059, -0.9124605059623718, -0.892446756362915, -0.8608928918838501, -0.8391985297203064, -0.8540763258934021, -0.8484916090965271, -0.845890462398529, -0.8586822152137756, -0.8996724486351013, -0.8441004157066345, -0.9491787552833557, -0.9371185898780823, -0.8505207300186157, -0.8453732132911682, -0.7806752324104309, -0.7620338797569275, -0.7752344012260437, -0.767072319984436, -0.7974430322647095, -0.7633032202720642, -0.781096875667572, -0.7589926719665527, -0.7165936231613159, -0.7656443119049072, -0.7530530691146851, -0.7437724471092224, -0.7099485993385315, -0.6823807954788208, -0.6936922073364258, -0.6791384220123291, -0.6858446002006531, -0.7334880232810974, -0.6950847506523132, -0.6876430511474609, -0.6896879076957703, -0.6839572191238403, -0.6816322207450867, -0.6770085692405701]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375]",201
2,48,0.2,"[-0.8855612277984619, -0.894004762172699, -0.9103132486343384, -0.903907060623169, -0.9379164576530457, -0.9032918810844421, -0.912584125995636, -0.9040937423706055, -0.9217986464500427, -0.9215920567512512, -0.9171944260597229, -0.924850583076477, -0.827354371547699, -0.8117640614509583, -0.8315492272377014, -0.8319672346115112, -0.8308514952659607, -0.8374422192573547, -0.8441103100776672, -0.8259702324867249, -0.8145011067390442, -0.8340893387794495, -0.828987181186676, -0.8292182683944702, -0.7421784400939941, -0.732988715171814, -0.744469404220581, -0.7579967379570007, -0.7433291077613831, -0.7812168002128601, -0.7433978319168091, -0.7329380512237549, -0.7109784483909607, -0.7252925038337708, -0.7337467670440674, -0.7196921110153198, -0.6455507278442383, -0.6893197298049927, -0.6823572516441345, -0.6888501644134521, -0.6932293772697449, -0.674917995929718, -0.6756568551063538, -0.6657022833824158, -0.6724090576171875, -0.6687507033348083, -0.6679113507270813, -0.6650710701942444]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375]",201
3,48,0.2,"[-0.900136411190033, -0.9036419987678528, -0.9593065977096558, -0.9298680424690247, -0.937920331954956, -0.9278814196586609, -0.9222185015678406, -0.9204468131065369, -0.9279380440711975, -0.9251886010169983, -0.8956827521324158, -0.8954561352729797, -0.8087955117225647, -0.816978931427002, -0.8378128409385681, -0.8342876434326172, -0.8360253572463989, -0.844600260257721, -0.8560667037963867, -0.8459897041320801, -0.9413937926292419, -0.8145158886909485, -0.831932008266449, -0.8171975612640381, -0.77023845911026, -0.7345592975616455, -0.7442027926445007, -0.7542544007301331, -0.7632809281349182, -0.7632609605789185, -0.7436580657958984, -0.7302786707878113, -0.6953643560409546, -0.7211567759513855, -0.7459883689880371, -0.7110830545425415, -0.6635462641716003, -0.6858755946159363, -0.6691581606864929, -0.6665154099464417, -0.7018231749534607, -0.6792101263999939, -0.6693010926246643, -0.6633842587471008, -0.6643785834312439, -0.6605986952781677, -0.6601970195770264, -0.655302107334137]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375]",201
0,96,0.0,"[-0.7636308670043945, -0.7887073755264282, -0.7845606803894043, -0.7683464884757996, -0.7665298581123352, -0.7663471698760986, -0.778648853302002, -0.782954752445221, -0.7709189653396606, -0.7824514508247375, -0.7712817192077637, -0.7751511335372925, -0.7759267687797546, -0.7830054759979248, -0.7839197516441345, -0.7785009741783142, -0.7772977948188782, -0.7693034410476685, -0.771126925945282, -0.7701859474182129, -0.7782967686653137, -0.7736124396324158, -0.785483181476593, -0.7792718410491943, -0.7464544773101807, -0.7920510768890381, -0.768662691116333, -0.7586124539375305, -0.748153567314148, -0.757230281829834, -0.7446600198745728, -0.7436003088951111, -0.73868328332901, -0.7304242849349976, -0.7249030470848083, -0.7121904492378235, -0.7090182304382324, -0.7004567384719849, -0.6994245052337646, -0.6938246488571167, -0.6910726428031921, -0.6887257099151611, -0.6398577690124512, -0.627125084400177, -0.6081507205963135, -0.6099007725715637, -0.587803840637207, -0.6325673460960388, -0.5992864370346069, -0.6011104583740234, -0.6214140057563782, -0.5868385434150696, -0.5854451060295105, -0.5896605253219604, -0.5759613513946533, -0.5707570910453796, -0.5728872418403625, -0.5706434845924377, -0.5616924166679382, -0.5647333264350891, -0.6200993061065674, -0.6316648125648499, -0.6205417513847351, -0.6415539979934692, -0.6330358386039734, -0.6442044973373413, -0.6415987610816956, -0.6440856456756592, -0.6515712141990662, -0.6281722187995911, -0.6593185067176819, -0.6549050807952881, -0.6542128920555115, -0.6506362557411194, -0.6534754633903503, -0.6531379222869873, -0.6513239741325378, -0.6489228010177612, -0.6623299717903137, -0.647264838218689, -0.6522567868232727, -0.640934407711029, -0.6557167172431946, -0.6671282052993774, -0.6619332432746887, -0.6624860167503357, -0.6641104817390442, -0.6634584069252014, -0.6659270524978638, -0.6627330780029297, -0.6624692678451538, -0.6602312326431274, -0.6591907143592834, -0.6545466780662537, -0.6519401669502258, -0.6503837704658508]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375, -0.37140920758247375, -0.37914931774139404, -0.4404158592224121, -0.47115808725357056, -0.49416035413742065, -0.47115808725357056, -0.47878921031951904, -0.40215155482292175, -0.41741371154785156, -0.4327848255634308, -0.44815593957901, -0.49416035413742065, -0.4634180963039398, -0.48652932047843933, -0.47878921031951904, -0.517162561416626, -0.5861691236495972, -0.6168023943901062, -0.6091713905334473, -0.6168023943901062, -0.6015402674674988, -0.6475446224212646, -0.7089202404022217, -0.7319223880767822, -0.7241823077201843, -0.7471845746040344, -0.7471845746040344, -0.7549246549606323, -0.770186722278595, -0.770186722278595, -0.7779268026351929, -0.7931889295578003, -0.800929069519043, -0.800929069519043, -0.8085600733757019, -0.800929069519043, -0.800929069519043, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8239312171936035, -0.8239312171936035, -0.800929069519043, -0.7855579257011414, -0.770186722278595, -0.7931889295578003, -0.800929069519043, -0.800929069519043]",201
1,96,0.2,"[-0.7938264012336731, -0.7790790796279907, -0.7777633666992188, -0.7618746757507324, -0.759527325630188, -0.7594561576843262, -0.7642315030097961, -0.7794997096061707, -0.7548555731773376, -0.7723177075386047, -0.7585594058036804, -0.7656522989273071, -0.7627408504486084, -0.7669218182563782, -0.7671366333961487, -0.7639592289924622, -0.7632167339324951, -0.7545379996299744, -0.7553185224533081, -0.7534283995628357, -0.7603693008422852, -0.7567092180252075, -0.7601733207702637, -0.7621483206748962, -0.7590371966362, -0.7726855278015137, -0.7370786666870117, -0.7904741764068604, -0.7155199646949768, -0.7276062369346619, -0.7180926203727722, -0.7146133780479431, -0.709038257598877, -0.7026885747909546, -0.6974541544914246, -0.6847385168075562, -0.680443525314331, -0.6717703938484192, -0.6703705191612244, -0.6660891771316528, -0.6630310416221619, -0.660780131816864, -0.5985777378082275, -0.590494692325592, -0.5719330310821533, -0.5716596245765686, -0.5505826473236084, -0.5840117335319519, -0.5790202021598816, -0.5759839415550232, -0.5867429375648499, -0.5613901615142822, -0.5610578656196594, -0.5664240717887878, -0.5545968413352966, -0.5477890968322754, -0.5500455498695374, -0.5490052103996277, -0.5463139414787292, -0.5440357327461243, -0.5858466029167175, -0.6136366128921509, -0.5992744565010071, -0.6142756342887878, -0.6090022921562195, -0.6179895401000977, -0.6196982264518738, -0.6283856630325317, -0.6318098902702332, -0.6171709299087524, -0.6432141065597534, -0.6361004710197449, -0.6345056295394897, -0.630361020565033, -0.6334196925163269, -0.6342654824256897, -0.6326574683189392, -0.6306439638137817, -0.634822428226471, -0.6097652912139893, -0.6131025552749634, -0.6593847870826721, -0.6330450177192688, -0.6435276865959167, -0.6403461694717407, -0.6416993141174316, -0.644303560256958, -0.644424557685852, -0.6471155285835266, -0.6443431973457336, -0.6448922157287598, -0.6426044702529907, -0.6415300369262695, -0.6375725865364075, -0.6344643235206604, -0.6329479217529297]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375, -0.37140920758247375, -0.37914931774139404, -0.4404158592224121, -0.47115808725357056, -0.49416035413742065, -0.47115808725357056, -0.47878921031951904, -0.40215155482292175, -0.41741371154785156, -0.4327848255634308, -0.44815593957901, -0.49416035413742065, -0.4634180963039398, -0.48652932047843933, -0.47878921031951904, -0.517162561416626, -0.5861691236495972, -0.6168023943901062, -0.6091713905334473, -0.6168023943901062, -0.6015402674674988, -0.6475446224212646, -0.7089202404022217, -0.7319223880767822, -0.7241823077201843, -0.7471845746040344, -0.7471845746040344, -0.7549246549606323, -0.770186722278595, -0.770186722278595, -0.7779268026351929, -0.7931889295578003, -0.800929069519043, -0.800929069519043, -0.8085600733757019, -0.800929069519043, -0.800929069519043, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8239312171936035, -0.8239312171936035, -0.800929069519043, -0.7855579257011414, -0.770186722278595, -0.7931889295578003, -0.800929069519043, -0.800929069519043]",201
