conv_layer_no,pred_len,sigma,output,true_val,input
0,24,0,"[-0.7869823575019836, -0.8067219257354736, -0.7666890025138855, -0.782103419303894, -0.7778569459915161, -0.7723326086997986, -0.8794081211090088, -0.8558563590049744, -0.8864827752113342, -0.8600916862487793, -0.8834652304649353, -0.8876827955245972, -0.8785335421562195, -0.8683377504348755, -0.8585813045501709, -0.783218264579773, -0.7593388557434082, -0.7977398633956909, -0.8108070492744446, -0.7431233525276184, -0.7534408569335938, -0.7480523586273193, -0.7370619177818298, -0.7271015048027039]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238]",201
1,24,2,"[-0.8925632238388062, -0.8399208188056946, -0.8509814739227295, -0.8681736588478088, -0.8846665024757385, -0.8721097707748413, -0.9447852969169617, -0.919520378112793, -0.9386244416236877, -0.8838726878166199, -0.9303916096687317, -0.9432656764984131, -0.9577805399894714, -0.9562127590179443, -0.9552964568138123, -0.8681915998458862, -0.8684955835342407, -0.875402569770813, -0.8623237013816833, -0.868087887763977, -0.8809604048728943, -0.8734328746795654, -0.8692796230316162, -0.8689483404159546]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238]",201
2,24,2,"[-0.8839883208274841, -0.8752397894859314, -0.8644925951957703, -0.8593276739120483, -0.8669996857643127, -0.8634759783744812, -1.0138566493988037, -0.9974122643470764, -1.0172187089920044, -0.968777596950531, -0.9465363621711731, -0.9936854243278503, -1.0014755725860596, -0.9975531697273254, -0.9963279366493225, -0.9206067323684692, -0.9202914834022522, -0.9358692765235901, -0.7994989156723022, -0.8754779696464539, -0.9078075289726257, -0.8976726531982422, -0.8917127847671509, -0.8911880254745483]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238]",201
3,24,2,"[-0.7582326531410217, -0.7722936272621155, -0.8123868107795715, -0.7387480139732361, -0.8134071230888367, -0.8009734153747559, -0.8655903935432434, -0.868892252445221, -0.8760009407997131, -0.8654192090034485, -0.8119927644729614, -0.8988965749740601, -0.9184202551841736, -0.9147565364837646, -0.9122134447097778, -0.7727360725402832, -0.7501447796821594, -0.7985885143280029, -0.7507475018501282, -0.7604891657829285, -0.8049558997154236, -0.7995427846908569, -0.7975090146064758, -0.7987039685249329]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238]",201
0,48,0,"[-0.8756074905395508, -0.862079918384552, -0.8846291303634644, -0.8929160237312317, -0.9342930912971497, -0.8832746148109436, -0.9082697629928589, -0.924127995967865, -0.9168210625648499, -0.9097228646278381, -0.9131346940994263, -0.9033334851264954, -0.7937683463096619, -0.8151514530181885, -0.8338881134986877, -0.8386287689208984, -0.8369972109794617, -0.8433899879455566, -0.881851851940155, -0.8316529393196106, -0.8227831721305847, -0.831429660320282, -0.8209013938903809, -0.8231291770935059, -0.7363145351409912, -0.7257402539253235, -0.7292808890342712, -0.7307361364364624, -0.7339123487472534, -0.7504498362541199, -0.739142119884491, -0.7290964722633362, -0.7006301283836365, -0.7088900208473206, -0.715429961681366, -0.7049461007118225, -0.6767871379852295, -0.6667008996009827, -0.6786780953407288, -0.6728671789169312, -0.6113924980163574, -0.6877408027648926, -0.6642943620681763, -0.658506453037262, -0.6579603552818298, -0.6542338728904724, -0.6517683863639832, -0.6468050479888916]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375]",201
1,48,2,"[-1.0055944919586182, -1.0087867975234985, -1.006912112236023, -1.012885570526123, -1.0050114393234253, -1.0149705410003662, -1.0259368419647217, -1.0437067747116089, -1.0414958000183105, -1.033042073249817, -1.035230278968811, -0.9860386252403259, -0.9855540990829468, -0.9644023776054382, -0.9718432426452637, -0.9650576710700989, -0.9677364826202393, -0.9797689318656921, -0.9674854278564453, -0.9200477600097656, -0.9435219168663025, -0.9699780344963074, -0.9650688171386719, -0.9985571503639221, -0.8843585848808289, -0.874935507774353, -0.865262508392334, -0.8867202997207642, -0.8830217123031616, -0.8733544945716858, -0.8873384594917297, -0.8750237226486206, -0.865770697593689, -0.8708306550979614, -0.8813197612762451, -0.8856333494186401, -0.8744457364082336, -0.8291017413139343, -0.8207382559776306, -0.8099905848503113, -0.8362722992897034, -0.8239558339118958, -0.8426438570022583, -0.8391613364219666, -0.8432549238204956, -0.840019941329956, -0.8382623195648193, -0.8403504490852356]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375]",201
2,48,2,"[-0.9246616959571838, -0.9319563508033752, -0.9134024977684021, -0.9311603903770447, -0.8832680583000183, -0.9437282681465149, -0.9367524981498718, -0.8963979482650757, -0.9451671242713928, -0.9394108057022095, -0.9393932819366455, -0.9293152689933777, -0.8927093148231506, -0.8919851183891296, -0.9090490341186523, -0.9154354333877563, -0.9103489518165588, -0.9140632152557373, -0.8996201753616333, -0.8772905468940735, -0.794638454914093, -0.8847125768661499, -0.8977096080780029, -0.9029996395111084, -0.806965708732605, -0.8003639578819275, -0.7945355772972107, -0.788158655166626, -0.7807655334472656, -0.8202561736106873, -0.8220366835594177, -0.8139516711235046, -0.7531176805496216, -0.7981132864952087, -0.8269601464271545, -0.807813823223114, -0.7833817601203918, -0.7893753051757812, -0.7598983645439148, -0.7916732430458069, -0.7179627418518066, -0.8122089505195618, -0.7950220704078674, -0.7960968017578125, -0.8023967146873474, -0.7997360825538635, -0.799726128578186, -0.7992585897445679]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375]",201
3,48,2,"[-0.9186951518058777, -0.9056479930877686, -0.8988270163536072, -0.9324108958244324, -0.8520159721374512, -0.8912419676780701, -0.9373643398284912, -0.9438852667808533, -0.9488928318023682, -0.9436212182044983, -0.946236789226532, -0.8728221654891968, -0.8741661310195923, -0.8423866629600525, -0.8639767169952393, -0.8609623312950134, -0.8573426008224487, -0.8599690794944763, -0.8230246901512146, -0.7666049599647522, -0.8327242732048035, -0.8147559762001038, -0.8296332359313965, -0.8602368831634521, -0.7169527411460876, -0.7081937193870544, -0.7123952507972717, -0.7048832178115845, -0.7020242214202881, -0.6921151280403137, -0.734087347984314, -0.7220510244369507, -0.6855254769325256, -0.7411463856697083, -0.75770503282547, -0.7461512088775635, -0.7929245233535767, -0.7524096369743347, -0.7566484808921814, -0.7381361126899719, -0.7157924771308899, -0.6946774125099182, -0.79179847240448, -0.791059672832489, -0.800955057144165, -0.8042802810668945, -0.8066497445106506, -0.8087466359138489]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375]",201
0,96,0,"[-0.8184664845466614, -0.7939981818199158, -0.7910968661308289, -0.7748365998268127, -0.7732121348381042, -0.7734122276306152, -0.8028130531311035, -0.7938410639762878, -0.7784779667854309, -0.7884723544120789, -0.7744550704956055, -0.7799071669578552, -0.7813317775726318, -0.7874354124069214, -0.7883260846138, -0.7842939496040344, -0.7837264537811279, -0.7750478982925415, -0.7763695120811462, -0.7756008505821228, -0.782945454120636, -0.7786422967910767, -0.7726278901100159, -0.7894158959388733, -0.7989060878753662, -0.800146758556366, -0.7770557999610901, -0.7586837410926819, -0.7531518340110779, -0.7604265213012695, -0.7497758865356445, -0.7478370666503906, -0.7424833178520203, -0.7355750203132629, -0.7302263975143433, -0.7169029712677002, -0.7133417129516602, -0.704875111579895, -0.7044429779052734, -0.6985452771186829, -0.6963849663734436, -0.6939852237701416, -0.6366646885871887, -0.6354126930236816, -0.615439236164093, -0.6100032329559326, -0.5973843932151794, -0.6231634020805359, -0.5922004580497742, -0.6115028262138367, -0.641369640827179, -0.5891234874725342, -0.5888755917549133, -0.5752883553504944, -0.5854766368865967, -0.5747567415237427, -0.5773863196372986, -0.5753438472747803, -0.5734889507293701, -0.5715996623039246, -0.6449173092842102, -0.6321003437042236, -0.6402021050453186, -0.6543806791305542, -0.647455632686615, -0.6582551598548889, -0.6560277342796326, -0.6605265736579895, -0.6687979698181152, -0.6569426655769348, -0.6782549619674683, -0.6732031106948853, -0.6728286147117615, -0.6699222326278687, -0.6741840243339539, -0.6737540364265442, -0.6733801960945129, -0.6716185808181763, -0.6738842725753784, -0.6947453022003174, -0.6744482517242432, -0.6612735390663147, -0.6730977296829224, -0.6877702474594116, -0.684633195400238, -0.6867757439613342, -0.6892057657241821, -0.6888815760612488, -0.6918182969093323, -0.6888989806175232, -0.6886879801750183, -0.6864386796951294, -0.6857891082763672, -0.6811953783035278, -0.6787207722663879, -0.6773970723152161]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375, -0.37140920758247375, -0.37914931774139404, -0.4404158592224121, -0.47115808725357056, -0.49416035413742065, -0.47115808725357056, -0.47878921031951904, -0.40215155482292175, -0.41741371154785156, -0.4327848255634308, -0.44815593957901, -0.49416035413742065, -0.4634180963039398, -0.48652932047843933, -0.47878921031951904, -0.517162561416626, -0.5861691236495972, -0.6168023943901062, -0.6091713905334473, -0.6168023943901062, -0.6015402674674988, -0.6475446224212646, -0.7089202404022217, -0.7319223880767822, -0.7241823077201843, -0.7471845746040344, -0.7471845746040344, -0.7549246549606323, -0.770186722278595, -0.770186722278595, -0.7779268026351929, -0.7931889295578003, -0.800929069519043, -0.800929069519043, -0.8085600733757019, -0.800929069519043, -0.800929069519043, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8239312171936035, -0.8239312171936035, -0.800929069519043, -0.7855579257011414, -0.770186722278595, -0.7931889295578003, -0.800929069519043, -0.800929069519043]",201
1,96,2,"[-0.9220609664916992, -0.9055434465408325, -0.8930931687355042, -0.8771198391914368, -0.8775681853294373, -0.8780549168586731, -0.8801263570785522, -0.9075911045074463, -0.8771016597747803, -0.8949405550956726, -0.880856990814209, -0.873807966709137, -0.8803441524505615, -0.8802867531776428, -0.8788802027702332, -0.8727844953536987, -0.8696538805961609, -0.8590579628944397, -0.8587159514427185, -0.8554518222808838, -0.8613569736480713, -0.8523591756820679, -0.828406572341919, -0.8447661399841309, -0.8125713467597961, -0.83524090051651, -0.8112238049507141, -0.8158117532730103, -0.8010222315788269, -0.8037083745002747, -0.7940862774848938, -0.7924187779426575, -0.7872733473777771, -0.7803337574005127, -0.7769402861595154, -0.7649074792861938, -0.7621913552284241, -0.7543660998344421, -0.7549026012420654, -0.7502059936523438, -0.7516793608665466, -0.7469757199287415, -0.6511329412460327, -0.6580346822738647, -0.6455644369125366, -0.649520754814148, -0.6352466940879822, -0.6490738391876221, -0.6610170006752014, -0.6399514079093933, -0.6643049120903015, -0.6291763186454773, -0.6274500489234924, -0.6111850142478943, -0.6207526922225952, -0.6106482148170471, -0.6111279129981995, -0.607957661151886, -0.6052613854408264, -0.6021963357925415, -0.6685495972633362, -0.6861665844917297, -0.6463837027549744, -0.6640129089355469, -0.6552362442016602, -0.6663651466369629, -0.6661671996116638, -0.668908417224884, -0.6797980666160583, -0.6803042888641357, -0.6883419752120972, -0.6893221735954285, -0.6891226768493652, -0.6872238516807556, -0.6909963488578796, -0.6921323537826538, -0.688490092754364, -0.6893649101257324, -0.7006291151046753, -0.6912661194801331, -0.6777501702308655, -0.7172924876213074, -0.7014006972312927, -0.7092022895812988, -0.7067674994468689, -0.7085074186325073, -0.7113800644874573, -0.7114025950431824, -0.7135098576545715, -0.7103690505027771, -0.7090616822242737, -0.706135094165802, -0.7032177448272705, -0.6975375413894653, -0.6948275566101074, -0.693082332611084]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375, -0.37140920758247375, -0.37914931774139404, -0.4404158592224121, -0.47115808725357056, -0.49416035413742065, -0.47115808725357056, -0.47878921031951904, -0.40215155482292175, -0.41741371154785156, -0.4327848255634308, -0.44815593957901, -0.49416035413742065, -0.4634180963039398, -0.48652932047843933, -0.47878921031951904, -0.517162561416626, -0.5861691236495972, -0.6168023943901062, -0.6091713905334473, -0.6168023943901062, -0.6015402674674988, -0.6475446224212646, -0.7089202404022217, -0.7319223880767822, -0.7241823077201843, -0.7471845746040344, -0.7471845746040344, -0.7549246549606323, -0.770186722278595, -0.770186722278595, -0.7779268026351929, -0.7931889295578003, -0.800929069519043, -0.800929069519043, -0.8085600733757019, -0.800929069519043, -0.800929069519043, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8239312171936035, -0.8239312171936035, -0.800929069519043, -0.7855579257011414, -0.770186722278595, -0.7931889295578003, -0.800929069519043, -0.800929069519043]",201
