conv_layer_no,dropout_rate,output,true_val,setting,input_range
0,0.2,"[-0.8856308, -0.860583, -0.93653893, -0.85752845, -0.9032185, -0.8839251, -0.91708755, -0.9059196, -0.88740534, -0.94527596, -0.89439, -0.9771161, -0.8609417, -1.0116144, -0.93010104, -0.9206244, -0.90159166, -0.94416475, -0.92174256, -0.9399595, -0.8605883, -0.91459775, -0.92985225, -0.7999668]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_2_rate_0.2,"[0, 1]"
0,0.2,"[-0.8673396, -0.84307474, -0.89726174, -0.8997804, -0.8887491, -0.9689995, -0.91019976, -0.9137699, -0.8603676, -0.92095083, -0.9614041, -0.9102237, -0.8889332, -0.8854494, -0.9812926, -0.9247291, -0.95283926, -0.9370184, -0.884895, -0.92794627, -0.9349563, -0.9229638, -0.925665, -0.9489142]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_2_rate_0.2,"[0, 1]"
0,0.2,"[-0.95222276, -0.99614954, -0.86331403, -0.8863914, -0.8917981, -0.89321923, -0.93179166, -0.79433095, -0.8977852, -0.9164468, -0.93164855, -0.9229357, -0.9686911, -0.9669034, -0.9717692, -0.9254279, -0.95289147, -0.8777774, -0.9181029, -1.0021657, -0.9780202, -0.9400004, -0.93454444, -0.9495196]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_2_rate_0.2,"[0, 1]"
0,0.2,"[-1.0072616, -0.94638383, -1.0100663, -0.91513604, -0.94087857, -0.9727589, -0.96787226, -0.9304401, -0.93797344, -0.9159888, -0.93324006, -0.939891, -0.99979115, -0.9505067, -0.87620115, -0.9218347, -1.0266134, -0.93558127, -0.97798, -0.9259778, -0.9212731, -0.9996879, -0.9783428, -0.9218768]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_2_rate_0.2,"[0, 1]"
0,0.2,"[-0.8805478, -0.9054442, -0.85298544, -0.9262391, -0.8939587, -0.91579396, -0.8684182, -0.9550729, -0.92176694, -0.8993008, -0.8617088, -0.9041414, -0.88518584, -0.8306924, -0.8967743, -0.9767759, -0.9295206, -0.9235867, -0.9850073, -0.978028, -0.9813485, -0.93564963, -0.93745106, -0.9990312]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_2_rate_0.2,"[0, 1]"
0,0.2,"[-0.9001509, -0.7869142, -0.7752972, -0.8885937, -0.8354023, -0.8090775, -0.86143374, -0.7826124, -0.8610615, -0.8559425, -0.931491, -0.8555586, -0.8972215, -0.91508055, -0.93706167, -0.94019675, -0.8843805, -0.924008, -0.85741675, -0.9169024, -0.882514, -0.9236829, -0.9179347, -0.8680192]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_2_rate_0.2,"[0, 1]"
0,0.2,"[-0.91897476, -0.9048711, -0.84954166, -0.84861064, -0.9118206, -0.8331803, -0.918023, -0.88070315, -0.9255483, -0.8331466, -0.89732075, -0.94065547, -0.94227743, -0.8812225, -0.9349823, -0.9455719, -0.9296591, -0.881964, -0.8750901, -0.97028697, -1.0315384, -0.8619201, -0.9265533, -0.9536767]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_2_rate_0.2,"[0, 1]"
0,0.2,"[-0.8277287, -0.86972046, -0.8456378, -0.93559015, -0.9307357, -0.86698234, -0.8350495, -0.86661994, -0.8816761, -0.9113862, -0.87796634, -0.9720639, -0.89220536, -0.8660325, -0.89286184, -0.91237175, -0.97261095, -0.94350296, -0.90088236, -0.89783716, -0.906887, -0.9139494, -0.98121476, -0.9232279]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_2_rate_0.2,"[0, 1]"
0,0.2,"[-0.8875767, -0.8740244, -0.8764255, -0.9373058, -0.8978885, -0.87780213, -1.0175546, -0.91597223, -0.8630861, -0.9446602, -0.98578703, -0.97615314, -0.8878599, -0.97659045, -0.99235916, -0.97086704, -0.9087069, -0.8806462, -0.940894, -0.9470126, -1.0274342, -0.9411, -0.9214398, -0.9686876]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_2_rate_0.2,"[0, 1]"
0,0.2,"[-0.874403, -0.8951876, -0.92799914, -0.8209648, -0.8575135, -0.8027638, -0.93031234, -0.8958962, -0.9420835, -0.92918044, -0.9835491, -0.8856103, -0.8292614, -0.8878824, -0.9505846, -0.87575734, -0.93455935, -0.96039486, -0.9533591, -0.92433983, -0.865396, -0.9521455, -0.90626717, -0.94797975]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_2_rate_0.2,"[0, 1]"
