conv_layer_no,dropout_rate,output,true_val,setting,input_range
0,0.5,"[-0.97464234, -0.9045898, -0.9100743, -0.9378636, -0.90121, -0.8959226, -0.916078, -0.93358225, -0.9302991, -0.9173, -0.9211732, -0.90176874, -0.9816179, -0.95013696, -0.8966616, -0.9976547, -0.9224568, -0.9082376, -0.9954598, -0.9431974, -0.97956806, -0.93932146, -0.9741612, -1.003583]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.5,"[0, 1]"
0,0.5,"[-0.9585475, -0.9474159, -0.8803899, -0.89430684, -0.89920914, -0.88970864, -0.92940336, -0.9150048, -0.9347892, -0.879947, -0.92081755, -0.92812145, -0.89611727, -0.9812087, -0.8801563, -0.9567679, -0.94932127, -0.93896186, -0.98989546, -0.92103755, -0.9807019, -0.9954394, -0.8864593, -0.9572508]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.5,"[0, 1]"
0,0.5,"[-0.911068, -0.83006775, -0.8556307, -0.9272359, -0.8566198, -0.9079366, -0.8888702, -0.9013227, -0.9187474, -0.8682015, -0.85637367, -0.89578444, -0.94087, -0.9307296, -0.9097882, -0.8722958, -0.85331655, -0.934648, -0.926895, -0.94226474, -0.93161786, -0.9591357, -0.9053918, -0.92362124]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.5,"[0, 1]"
0,0.5,"[-0.9207794, -0.9403284, -0.96247363, -0.88043934, -0.9474731, -0.9396293, -0.9060575, -0.907589, -0.9106831, -0.88309824, -0.8862347, -0.87777126, -0.8495242, -0.89451575, -0.94213533, -0.9613698, -0.8848344, -0.92780757, -0.9365965, -0.90126675, -0.9741173, -0.96375746, -0.9786283, -0.90102464]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.5,"[0, 1]"
0,0.5,"[-0.86786914, -0.90880895, -0.8721141, -0.88302296, -0.85153913, -0.86527, -0.8893329, -0.91580206, -0.8856202, -0.87533814, -0.91672003, -0.9115704, -0.9234387, -0.92553526, -0.9199075, -0.8965235, -0.8875041, -0.9486541, -0.87773466, -0.91704303, -0.9084421, -0.9336827, -0.9667107, -1.0443822]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.5,"[0, 1]"
0,0.5,"[-0.9014484, -0.89897925, -0.92453563, -0.8781504, -0.9134085, -0.91479033, -0.87867683, -0.8595181, -0.9111635, -0.8955099, -0.92420775, -0.8328326, -0.93238103, -0.89751107, -0.8630994, -0.9203182, -0.9076562, -0.9601859, -0.90026087, -0.88461185, -0.915405, -0.9689564, -0.9398802, -0.9471906]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.5,"[0, 1]"
0,0.5,"[-0.86682636, -0.8983817, -0.9083188, -0.92618334, -0.8845871, -0.8864701, -0.92592865, -0.84712964, -0.82496655, -0.8863812, -0.92944175, -0.8299168, -0.8890911, -0.90216416, -0.885005, -0.9258622, -0.8836311, -0.91930556, -0.891838, -0.92915857, -0.91593134, -0.9241219, -0.9861281, -0.8962104]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.5,"[0, 1]"
0,0.5,"[-0.9150277, -0.8884333, -0.89290595, -0.93368405, -0.88329566, -0.8704486, -0.8762707, -0.91139424, -0.9423666, -0.86720115, -0.85653436, -0.8894664, -0.90400386, -0.9355882, -0.92565596, -0.8794443, -0.9160568, -0.9461636, -0.9293256, -0.92436683, -0.95016026, -0.9636621, -0.9292861, -1.0013149]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.5,"[0, 1]"
0,0.5,"[-0.9306523, -0.8442407, -0.8759392, -0.9079177, -0.88414425, -0.85817534, -0.88533545, -0.925385, -0.8743145, -0.86961764, -0.87187076, -0.8594693, -0.94192195, -0.9291624, -0.9900609, -0.9264263, -0.91517603, -0.92315966, -0.9825083, -1.0083386, -0.9575769, -0.94921577, -0.9808593, -0.8939681]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.5,"[0, 1]"
0,0.5,"[-0.9577428, -0.91065735, -0.9632608, -0.9032316, -0.88148504, -0.8788104, -0.917786, -0.9265919, -0.9245559, -0.9425345, -0.92989314, -0.91823775, -0.8928815, -0.9148693, -0.9205871, -0.8522602, -0.9932208, -0.9288203, -0.95134395, -0.9795396, -0.9526206, -0.91556615, -0.943569, -0.88925266]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_3_rate_0.5,"[0, 1]"
