conv_layer_no,sigma,output,true_val,input
1,0.01,"[-0.9070702195167542, -0.9058647751808167, -0.896976888179779, -0.8912245631217957, -0.8824378848075867, -0.8798471093177795, -0.8783938884735107, -0.8803697824478149, -0.8811532258987427, -0.8881354331970215, -0.888573944568634, -0.8829479813575745, -0.876453697681427, -0.876350998878479, -0.8790052533149719, -0.8817864656448364, -0.8774865865707397, -0.8759780526161194, -0.870715320110321, -0.8654753565788269, -0.863985002040863, -0.8721493482589722, -0.8791848421096802, -0.8817194700241089, -0.8771646022796631, -0.8783420920372009, -0.8823184370994568, -0.8871510624885559, -0.8897745013237, -0.8932363986968994, -0.8935483694076538, -0.8937649130821228, -0.8969705700874329, -0.9011233448982239, -0.9046869277954102, -0.9065430164337158, -0.9025124907493591, -0.9017940759658813, -0.8983426094055176, -0.8929383754730225, -0.8791227340698242, -0.8678707480430603, -0.852789044380188, -0.8365926742553711, -0.8177703022956848, -0.8088556528091431, -0.8045760989189148, -0.7889828085899353]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
1,0.01,"[-0.9071154594421387, -0.905859649181366, -0.896994411945343, -0.89117431640625, -0.882439136505127, -0.8798819184303284, -0.8783583045005798, -0.8803775310516357, -0.8811450004577637, -0.8881744146347046, -0.8886111974716187, -0.882990300655365, -0.8765027523040771, -0.8763419985771179, -0.8790537118911743, -0.8817954063415527, -0.8775194883346558, -0.8760216236114502, -0.8707951903343201, -0.8654838800430298, -0.8640219569206238, -0.8722282648086548, -0.8792014122009277, -0.8817645311355591, -0.8772681951522827, -0.8783887624740601, -0.8824045658111572, -0.8872328400611877, -0.8898673057556152, -0.8933560848236084, -0.8936229348182678, -0.8938077688217163, -0.8970475792884827, -0.9012425541877747, -0.9047569632530212, -0.9065991044044495, -0.9026130437850952, -0.9019113183021545, -0.8984711170196533, -0.8930127024650574, -0.8792277574539185, -0.8679755330085754, -0.8529026508331299, -0.8366336226463318, -0.8179959654808044, -0.8090199828147888, -0.8047360777854919, -0.7890591025352478]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
1,0.01,"[-0.9069028496742249, -0.9056406617164612, -0.8968249559402466, -0.8909947276115417, -0.8822376132011414, -0.8796667456626892, -0.8782019019126892, -0.8801706433296204, -0.880950927734375, -0.8879654407501221, -0.8883893489837646, -0.8827833533287048, -0.8763145208358765, -0.8762420415878296, -0.8789241313934326, -0.8817213177680969, -0.8774057030677795, -0.8759476542472839, -0.8707408905029297, -0.8654671311378479, -0.864011287689209, -0.8722327351570129, -0.879204273223877, -0.8817392587661743, -0.877251923084259, -0.8783763647079468, -0.882369339466095, -0.887208878993988, -0.8898820281028748, -0.8932778835296631, -0.8936047554016113, -0.8938237428665161, -0.8969975113868713, -0.9011765718460083, -0.904731035232544, -0.9066057205200195, -0.9025622010231018, -0.9018678665161133, -0.8983604907989502, -0.8929848074913025, -0.8791429996490479, -0.8679109811782837, -0.8527810573577881, -0.8365557789802551, -0.8177926540374756, -0.8087829947471619, -0.8044754266738892, -0.7889197468757629]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
1,0.01,"[-0.9068546295166016, -0.9055944681167603, -0.8967872858047485, -0.8910053968429565, -0.8822651505470276, -0.8796855211257935, -0.8782452940940857, -0.8801882266998291, -0.8809858560562134, -0.8880332708358765, -0.8884372115135193, -0.8828460574150085, -0.8763609528541565, -0.8762762546539307, -0.879017174243927, -0.8817170858383179, -0.8774983286857605, -0.8759540915489197, -0.8706939816474915, -0.8654698133468628, -0.8639330863952637, -0.8721335530281067, -0.8792108297348022, -0.8817410469055176, -0.8772538304328918, -0.8784235119819641, -0.8824000954627991, -0.8872571587562561, -0.8898877501487732, -0.8933112621307373, -0.8936297297477722, -0.8938872218132019, -0.8971700072288513, -0.9013136029243469, -0.9048936367034912, -0.9067856669425964, -0.902727484703064, -0.9020915627479553, -0.8986086249351501, -0.8932361006736755, -0.8794139623641968, -0.8681948184967041, -0.8531253337860107, -0.8369041681289673, -0.8181057572364807, -0.8090944886207581, -0.8047692775726318, -0.7891699075698853]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
1,0.01,"[-0.9070239663124084, -0.9058375954627991, -0.8969771265983582, -0.8911953568458557, -0.8824071884155273, -0.8797768950462341, -0.8783361911773682, -0.8802506327629089, -0.8811136484146118, -0.8881324529647827, -0.8885773420333862, -0.8829691410064697, -0.8764485716819763, -0.8763204216957092, -0.8790236711502075, -0.8816981911659241, -0.8775050044059753, -0.8760077953338623, -0.8707354664802551, -0.8654614686965942, -0.863990306854248, -0.8721542358398438, -0.8791912794113159, -0.8816663026809692, -0.8771589994430542, -0.8783000707626343, -0.8823113441467285, -0.8871428966522217, -0.8898017406463623, -0.8932351469993591, -0.8935667276382446, -0.8937762379646301, -0.8970115780830383, -0.9012362957000732, -0.9047550559043884, -0.9066437482833862, -0.9025816917419434, -0.9018850922584534, -0.8984899520874023, -0.8930791616439819, -0.879277765750885, -0.868049144744873, -0.8529780507087708, -0.8367714285850525, -0.8179726004600525, -0.8090471625328064, -0.8047183752059937, -0.7891271710395813]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
1,0.01,"[-0.9067675471305847, -0.9055798649787903, -0.8967163562774658, -0.8909116387367249, -0.8821575045585632, -0.8796058297157288, -0.8781440258026123, -0.8801519274711609, -0.8809313774108887, -0.887980580329895, -0.8884342908859253, -0.8827873468399048, -0.8763354420661926, -0.8761777877807617, -0.878925621509552, -0.8815687894821167, -0.8773089051246643, -0.8758143186569214, -0.870590090751648, -0.8653296828269958, -0.8637805581092834, -0.8719514012336731, -0.87897789478302, -0.8815125823020935, -0.8770042061805725, -0.8781404495239258, -0.8821497559547424, -0.8870029449462891, -0.8896149396896362, -0.8930672407150269, -0.8933671116828918, -0.8935803771018982, -0.8968136310577393, -0.9009532332420349, -0.9045188426971436, -0.90643709897995, -0.9023858904838562, -0.9016488194465637, -0.8982207775115967, -0.892866849899292, -0.8790227174758911, -0.8677870035171509, -0.8527371883392334, -0.8365319967269897, -0.8177151679992676, -0.8087801933288574, -0.8044339418411255, -0.7888544201850891]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
1,0.01,"[-0.9069812893867493, -0.9057731628417969, -0.8969152569770813, -0.891103982925415, -0.8823637962341309, -0.8797767758369446, -0.8782463073730469, -0.880306601524353, -0.8810643553733826, -0.8880776166915894, -0.8885245323181152, -0.8828704953193665, -0.8763893246650696, -0.8762701153755188, -0.8790048360824585, -0.8817774057388306, -0.8774605393409729, -0.8759727478027344, -0.870764970779419, -0.8654295802116394, -0.863967776298523, -0.8721532821655273, -0.8791632652282715, -0.8816972374916077, -0.8771711587905884, -0.8783544301986694, -0.8823193311691284, -0.8871695399284363, -0.8898460865020752, -0.8932205438613892, -0.8935726881027222, -0.8937917351722717, -0.897019624710083, -0.9011367559432983, -0.9047473073005676, -0.9066108465194702, -0.9025277495384216, -0.9018774628639221, -0.8983829021453857, -0.8929749727249146, -0.8791146874427795, -0.8678611516952515, -0.8528327941894531, -0.8365840315818787, -0.8178093433380127, -0.8088617324829102, -0.8045210838317871, -0.788923978805542]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
1,0.01,"[-0.9068185091018677, -0.9056035280227661, -0.8967282772064209, -0.8909753561019897, -0.8821996450424194, -0.879607081413269, -0.878163754940033, -0.8801385760307312, -0.8809088468551636, -0.8879472017288208, -0.8883107900619507, -0.882690966129303, -0.8762104511260986, -0.8760446906089783, -0.8787965774536133, -0.8815301060676575, -0.8772150278091431, -0.875720202922821, -0.8704343438148499, -0.8651578426361084, -0.8636894226074219, -0.8718544244766235, -0.8788588047027588, -0.8814307451248169, -0.8768634796142578, -0.8780418038368225, -0.8819980025291443, -0.8867764472961426, -0.8894587755203247, -0.892830491065979, -0.8932216167449951, -0.8933950662612915, -0.8966366052627563, -0.9007248878479004, -0.9044041037559509, -0.9062066078186035, -0.9021470546722412, -0.9014914631843567, -0.8979748487472534, -0.8925737142562866, -0.8787276148796082, -0.8675495386123657, -0.8524922132492065, -0.836271345615387, -0.8174909353256226, -0.8085479140281677, -0.8042343258857727, -0.7886723279953003]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
1,0.01,"[-0.9071573615074158, -0.9058994650840759, -0.8970485925674438, -0.8912603259086609, -0.882436990737915, -0.8798799514770508, -0.8783678412437439, -0.8803199529647827, -0.8811243772506714, -0.8880638480186462, -0.8884955644607544, -0.8828954100608826, -0.8763612508773804, -0.8762712478637695, -0.8789637684822083, -0.8816478848457336, -0.8773924708366394, -0.8758727312088013, -0.8706458210945129, -0.8653196692466736, -0.8638697266578674, -0.8720229864120483, -0.8790125250816345, -0.8815440535545349, -0.8770174980163574, -0.8781471848487854, -0.8821302056312561, -0.8869532346725464, -0.8895663022994995, -0.89304518699646, -0.8933717608451843, -0.8935421705245972, -0.8967463970184326, -0.9008896350860596, -0.9044714570045471, -0.9062986373901367, -0.9022389054298401, -0.9016180634498596, -0.8981231451034546, -0.8927295207977295, -0.8789084553718567, -0.8676645159721375, -0.852594792842865, -0.8363943099975586, -0.8176177144050598, -0.8086947798728943, -0.8044008612632751, -0.7887685298919678]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
1,0.01,"[-0.9070603847503662, -0.9057925343513489, -0.896864652633667, -0.8911195993423462, -0.8823624849319458, -0.8797659873962402, -0.878296434879303, -0.8802957534790039, -0.8810713291168213, -0.8881716132164001, -0.8884783387184143, -0.8829358816146851, -0.8764434456825256, -0.876274049282074, -0.8790637850761414, -0.881767749786377, -0.8774615526199341, -0.8759912252426147, -0.8707349300384521, -0.8654506206512451, -0.8639460802078247, -0.8720826506614685, -0.879106879234314, -0.8816157579421997, -0.8771199584007263, -0.8782763481140137, -0.8822826743125916, -0.8871010541915894, -0.889697790145874, -0.8931370377540588, -0.8934492468833923, -0.8936793208122253, -0.8969106078147888, -0.9010510444641113, -0.9045878648757935, -0.9064415097236633, -0.9023800492286682, -0.9016907215118408, -0.8982275724411011, -0.8928401470184326, -0.8789840936660767, -0.8677824139595032, -0.8527124524116516, -0.8364702463150024, -0.8177316188812256, -0.8087766766548157, -0.8044553995132446, -0.7889251112937927]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
