conv_layer_no,pred_len,sigma,output,true_val,input
0,24,0.0,"[-0.8148326277732849, -0.815860390663147, -0.8150331974029541, -0.8191154599189758, -0.819492757320404, -0.8203831315040588, -0.8198599219322205, -0.8190724849700928, -0.8148320913314819, -0.8160704374313354, -0.8178194165229797, -0.8200796246528625, -0.8208990693092346, -0.8233819007873535, -0.8252987861633301, -0.8273048400878906, -0.824216365814209, -0.8253494501113892, -0.8257778882980347, -0.8266047835350037, -0.8214062452316284, -0.8191009759902954, -0.8145387768745422, -0.8132830858230591]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238]",201
1,24,0.2,"[-0.8121899962425232, -0.8124465942382812, -0.8117312788963318, -0.8158487677574158, -0.8159161806106567, -0.8169922232627869, -0.8165771961212158, -0.8159722685813904, -0.8116379380226135, -0.8129345178604126, -0.8149564862251282, -0.8173945546150208, -0.8181750774383545, -0.8205816149711609, -0.8222283720970154, -0.8239858746528625, -0.8207056522369385, -0.8217665553092957, -0.8221302628517151, -0.8229357600212097, -0.8175269365310669, -0.8151116371154785, -0.8104556202888489, -0.8088900446891785]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238]",201
2,24,0.2,"[-0.8142961263656616, -0.8146842122077942, -0.8139337301254272, -0.8182246088981628, -0.8185095191001892, -0.8195737600326538, -0.8192465305328369, -0.8185638189315796, -0.8142945170402527, -0.8154274225234985, -0.817447304725647, -0.8198578953742981, -0.820792555809021, -0.823227047920227, -0.8250242471694946, -0.8268404006958008, -0.8236947655677795, -0.824619710445404, -0.8251157999038696, -0.8260544538497925, -0.8210307359695435, -0.8187695145606995, -0.8143774271011353, -0.8128781318664551]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238]",201
3,24,0.2,"[-0.8164899349212646, -0.8175245523452759, -0.8165698051452637, -0.8204993009567261, -0.8208211064338684, -0.821749210357666, -0.8213288187980652, -0.8205617666244507, -0.8162482380867004, -0.8172562718391418, -0.8189045190811157, -0.8210458159446716, -0.8218383193016052, -0.8241851329803467, -0.8260904550552368, -0.828066349029541, -0.8251055479049683, -0.8263082504272461, -0.8268603682518005, -0.8276801109313965, -0.8223825693130493, -0.8197475075721741, -0.8150145411491394, -0.8142474889755249]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238]",201
0,48,0.0,"[-0.9696736335754395, -0.9562370777130127, -0.9465408325195312, -0.9418810606002808, -0.9418653249740601, -0.9397622346878052, -0.934201717376709, -0.9286366701126099, -0.9293053150177002, -0.9300199747085571, -0.9269939661026001, -0.9232349395751953, -0.9222284555435181, -0.9220626354217529, -0.918630838394165, -0.9130865335464478, -0.9069312810897827, -0.9018417596817017, -0.8973314762115479, -0.8934929370880127, -0.8894366025924683, -0.8888474702835083, -0.8814916610717773, -0.8669180870056152, -0.8596886396408081, -0.8495008945465088, -0.8383505344390869, -0.8246365785598755, -0.8120923042297363, -0.8028223514556885, -0.7873623371124268, -0.7687841653823853, -0.7555791139602661, -0.7434808015823364, -0.7324463129043579, -0.7209868431091309, -0.7060269117355347, -0.6961871385574341, -0.6883540153503418, -0.682060718536377, -0.673581600189209, -0.6718636751174927, -0.6717122793197632, -0.6706929206848145, -0.670150876045227, -0.6698634624481201, -0.6663228273391724, -0.6613874435424805]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375]",201
1,48,0.2,"[-0.969012975692749, -0.955680251121521, -0.9459362030029297, -0.9413442611694336, -0.9413334131240845, -0.9390949010848999, -0.9334486722946167, -0.9279327392578125, -0.9285503625869751, -0.9292521476745605, -0.9262079000473022, -0.9223158359527588, -0.9213569164276123, -0.9210703372955322, -0.9177360534667969, -0.912189245223999, -0.9060007333755493, -0.9010282754898071, -0.8965941667556763, -0.8927961587905884, -0.888647198677063, -0.8879482746124268, -0.8805602788925171, -0.8659825325012207, -0.8587747812271118, -0.8486275672912598, -0.8374142646789551, -0.8236689567565918, -0.811271071434021, -0.8017836809158325, -0.7863985300064087, -0.7677360773086548, -0.7545735836029053, -0.7426580190658569, -0.7315220832824707, -0.7200783491134644, -0.7051420211791992, -0.6952646970748901, -0.6873165369033813, -0.6811661720275879, -0.672589898109436, -0.6708550453186035, -0.6707180738449097, -0.6696548461914062, -0.6690993309020996, -0.6688858270645142, -0.665324330329895, -0.6602692604064941]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375]",201
2,48,0.2,"[-0.9691041707992554, -0.9559953212738037, -0.9462277889251709, -0.9415895938873291, -0.9415987730026245, -0.9394468069076538, -0.9338868856430054, -0.9282699823379517, -0.9288856983184814, -0.9294571876525879, -0.926527738571167, -0.9226940870285034, -0.9217138290405273, -0.9213430881500244, -0.9178833961486816, -0.9122378826141357, -0.9060180187225342, -0.9011431932449341, -0.8966814279556274, -0.8929557800292969, -0.8887403011322021, -0.8880971670150757, -0.880608081817627, -0.8660752773284912, -0.858843207359314, -0.8486751317977905, -0.8375396728515625, -0.8235841989517212, -0.811110258102417, -0.80167555809021, -0.7862412929534912, -0.7676200866699219, -0.7543970346450806, -0.7425118684768677, -0.7312860488891602, -0.7197607755661011, -0.7048548460006714, -0.694877028465271, -0.6870748996734619, -0.6808116436004639, -0.6723294258117676, -0.670616626739502, -0.6703944206237793, -0.6694084405899048, -0.6687960624694824, -0.6685804128646851, -0.6650623083114624, -0.6602009534835815]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375]",201
3,48,0.2,"[-0.9689290523529053, -0.955507755279541, -0.945925235748291, -0.9413058757781982, -0.9414032697677612, -0.9392280578613281, -0.9335534572601318, -0.9279030561447144, -0.9286395311355591, -0.9292547702789307, -0.9262875318527222, -0.9224112033843994, -0.9214266538619995, -0.9210555553436279, -0.9176687002182007, -0.9120705127716064, -0.9057835340499878, -0.900672197341919, -0.896087646484375, -0.8923192024230957, -0.888137936592102, -0.8876489400863647, -0.8801864385604858, -0.8656196594238281, -0.8583371639251709, -0.8481490612030029, -0.8368809223175049, -0.8230805397033691, -0.8105133771896362, -0.801061749458313, -0.7857918739318848, -0.7669765949249268, -0.7536191940307617, -0.7416321039199829, -0.7304549217224121, -0.7189321517944336, -0.7039316892623901, -0.69403076171875, -0.6860904693603516, -0.6798456907272339, -0.6712286472320557, -0.6695215702056885, -0.6694842576980591, -0.6685254573822021, -0.6678225994110107, -0.6676071882247925, -0.6640007495880127, -0.6589198112487793]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375]",201
0,96,0.0,"[-0.9402939677238464, -0.8998979926109314, -0.9086688160896301, -0.9182869791984558, -0.9007723331451416, -0.8897677063941956, -0.8764267563819885, -0.8696816563606262, -0.8630310893058777, -0.8695991635322571, -0.8695607781410217, -0.8640105128288269, -0.8560726046562195, -0.8552919626235962, -0.8556250929832458, -0.8563976287841797, -0.8472910523414612, -0.8482120633125305, -0.8480849266052246, -0.8406062722206116, -0.8329753279685974, -0.8276235461235046, -0.823103129863739, -0.816476047039032, -0.8118000030517578, -0.8102317452430725, -0.8101237416267395, -0.8071958422660828, -0.8032869696617126, -0.7940356731414795, -0.7814674973487854, -0.7693472504615784, -0.7652193307876587, -0.7657700181007385, -0.7677566409111023, -0.7689798474311829, -0.7568454146385193, -0.7460156679153442, -0.7280122637748718, -0.7094888687133789, -0.692297101020813, -0.6880850791931152, -0.6868119239807129, -0.6876367330551147, -0.6815950274467468, -0.6705719232559204, -0.6555410027503967, -0.6444126963615417, -0.6400423645973206, -0.6357057690620422, -0.6325346231460571, -0.627898097038269, -0.6233569979667664, -0.6202333569526672, -0.6143659353256226, -0.6073104739189148, -0.6056351065635681, -0.6141825914382935, -0.6194713711738586, -0.6142313480377197, -0.6124939918518066, -0.607165515422821, -0.6016744375228882, -0.6039946675300598, -0.6145339012145996, -0.6279133558273315, -0.6327638030052185, -0.6309314370155334, -0.6245315670967102, -0.6285650730133057, -0.6379030346870422, -0.65191251039505, -0.6530049443244934, -0.655080258846283, -0.6485026478767395, -0.6431271433830261, -0.6452970504760742, -0.6541728973388672, -0.6634755730628967, -0.671716034412384, -0.6633225083351135, -0.6637507677078247, -0.6643316149711609, -0.6680702567100525, -0.6703155636787415, -0.6714898347854614, -0.6697505712509155, -0.6693069934844971, -0.7217174172401428, -0.7234744429588318, -0.7260242700576782, -0.7263179421424866, -0.7264357805252075, -0.7243794202804565, -0.723426103591919, -0.7304527759552002]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375, -0.37140920758247375, -0.37914931774139404, -0.4404158592224121, -0.47115808725357056, -0.49416035413742065, -0.47115808725357056, -0.47878921031951904, -0.40215155482292175, -0.41741371154785156, -0.4327848255634308, -0.44815593957901, -0.49416035413742065, -0.4634180963039398, -0.48652932047843933, -0.47878921031951904, -0.517162561416626, -0.5861691236495972, -0.6168023943901062, -0.6091713905334473, -0.6168023943901062, -0.6015402674674988, -0.6475446224212646, -0.7089202404022217, -0.7319223880767822, -0.7241823077201843, -0.7471845746040344, -0.7471845746040344, -0.7549246549606323, -0.770186722278595, -0.770186722278595, -0.7779268026351929, -0.7931889295578003, -0.800929069519043, -0.800929069519043, -0.8085600733757019, -0.800929069519043, -0.800929069519043, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8239312171936035, -0.8239312171936035, -0.800929069519043, -0.7855579257011414, -0.770186722278595, -0.7931889295578003, -0.800929069519043, -0.800929069519043]",201
1,96,0.2,"[-0.9411886930465698, -0.9005013108253479, -0.9093756675720215, -0.918997049331665, -0.9016457796096802, -0.8904891014099121, -0.8770224452018738, -0.8700240254402161, -0.8634551167488098, -0.869982123374939, -0.869983971118927, -0.86448734998703, -0.8567377924919128, -0.8558439016342163, -0.856182336807251, -0.8569085597991943, -0.8477832674980164, -0.8486910462379456, -0.8484482169151306, -0.8409575819969177, -0.8334155082702637, -0.8281123042106628, -0.8236085772514343, -0.8168924450874329, -0.8122496008872986, -0.8106329441070557, -0.8105669617652893, -0.8076950907707214, -0.8037810325622559, -0.7945738434791565, -0.7818997502326965, -0.7698267102241516, -0.7657808661460876, -0.7663660645484924, -0.7684791684150696, -0.7697546482086182, -0.7573899626731873, -0.7465655207633972, -0.7285682559013367, -0.7101098895072937, -0.692911684513092, -0.6888338923454285, -0.6875799298286438, -0.6883713603019714, -0.6822140216827393, -0.6710017323493958, -0.6558056473731995, -0.6447538137435913, -0.6403859853744507, -0.6360152959823608, -0.6329132914543152, -0.6282181143760681, -0.6236927509307861, -0.6204274296760559, -0.6146104335784912, -0.6076613068580627, -0.6059802770614624, -0.6143767237663269, -0.6197102665901184, -0.6143953800201416, -0.6128031611442566, -0.6074715852737427, -0.6018509864807129, -0.6042835116386414, -0.6148591041564941, -0.6281220316886902, -0.6328492164611816, -0.6309288144111633, -0.6245979070663452, -0.628595769405365, -0.6380323767662048, -0.6520553827285767, -0.6532120108604431, -0.6552886962890625, -0.6486023664474487, -0.6431362628936768, -0.6454697251319885, -0.6541686058044434, -0.6635940670967102, -0.6718776822090149, -0.6636106967926025, -0.6639859080314636, -0.6646515130996704, -0.668168842792511, -0.6704891324043274, -0.6716970801353455, -0.6698159575462341, -0.6695202589035034, -0.7220357656478882, -0.7239599823951721, -0.7264805436134338, -0.7267782092094421, -0.7270720601081848, -0.7249872088432312, -0.723964273929596, -0.7313471436500549]","[-0.8239312171936035, -0.8239312171936035, -0.8623045682907104, -0.8623045682907104, -0.9083089232444763, -0.8775666952133179, -0.831562340259552, -0.7855579257011414, -0.8393024206161499, -0.7931889295578003, -0.7855579257011414, -0.7855579257011414, -0.770186722278595, -0.7241823077201843, -0.6629158854484558, -0.6859180331230164, -0.6935491561889648, -0.7011801600456238, -0.6859180331230164, -0.6935491561889648, -0.7319223880767822, -0.7625556588172913, -0.7165513038635254, -0.7011801600456238, -0.6781778931617737, -0.6705468893051147, -0.6935491561889648, -0.6321735382080078, -0.5938001871109009, -0.5477957725524902, -0.5707980394363403, -0.6475446224212646, -0.6091713905334473, -0.6245424747467041, -0.6321735382080078, -0.6321735382080078, -0.6168023943901062, -0.6168023943901062, -0.5861691236495972, -0.5555358529090881, -0.5017913579940796, -0.5325337052345276, -0.517162561416626, -0.5247936248779297, -0.4097825884819031, -0.41741371154785156, -0.37914931774139404, -0.37140920758247375, -0.37140920758247375, -0.37914931774139404, -0.4404158592224121, -0.47115808725357056, -0.49416035413742065, -0.47115808725357056, -0.47878921031951904, -0.40215155482292175, -0.41741371154785156, -0.4327848255634308, -0.44815593957901, -0.49416035413742065, -0.4634180963039398, -0.48652932047843933, -0.47878921031951904, -0.517162561416626, -0.5861691236495972, -0.6168023943901062, -0.6091713905334473, -0.6168023943901062, -0.6015402674674988, -0.6475446224212646, -0.7089202404022217, -0.7319223880767822, -0.7241823077201843, -0.7471845746040344, -0.7471845746040344, -0.7549246549606323, -0.770186722278595, -0.770186722278595, -0.7779268026351929, -0.7931889295578003, -0.800929069519043, -0.800929069519043, -0.8085600733757019, -0.800929069519043, -0.800929069519043, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8239312171936035, -0.8239312171936035, -0.800929069519043, -0.7855579257011414, -0.770186722278595, -0.7931889295578003, -0.800929069519043, -0.800929069519043]",201
