location,sigma,pred_len,mae,mse
0,0.0,24,0.023356242,0.0008357924
1,0.05,24,0.0234582293778657,0.0008411288144998
2,0.05,24,0.0232324283570051,0.0008319006301462
3,0.05,24,0.0231997389346361,0.0008283954230137
0,0.0,48,0.0950650200247764,0.0102128386497497
1,0.05,48,0.0950984358787536,0.0102193355560302
2,0.05,48,0.0950495079159736,0.0102089224383234
3,0.05,48,0.094958059489727,0.0101940520107746
0,0.0,96,0.0980251133441925,0.011906954459846
1,0.05,96,0.0979938730597496,0.0118994861841201
2,0.05,96,0.0981021597981453,0.0119245061650872
3,0.05,96,0.09804423898458481,0.011911285109817982
