conv_layer_no,dropout_rate,output,true_val,input
0,0.0,"[-0.9156293869018555, -0.9159519076347351, -0.9203193783760071, -0.9152357578277588, -0.9278388619422913, -0.8560134768486023, -0.9566128849983215, -0.8411692976951599, -0.9242902398109436, -0.9359171390533447, -0.9268397688865662, -0.9600474238395691, -0.9345417022705078, -0.957639753818512, -0.9447081089019775, -0.9414566159248352, -0.9021162390708923, -0.8742011189460754, -0.9829772710800171, -0.9855641722679138, -0.9496955275535583, -0.9013904929161072, -0.9456949234008789, -0.9601545929908752, -0.9708957076072693, -0.9910916090011597, -1.034483790397644, -0.9771891236305237, -0.9912476539611816, -1.0333902835845947, -0.8615713715553284, -0.9793418645858765, -0.9312825798988342, -1.0065927505493164, -0.9672271609306335, -1.00455904006958, -0.9266484379768372, -1.030816912651062, -0.9816812872886658, -0.9557911157608032, -0.890441358089447, -0.92353355884552, -0.8446630239486694, -0.9465842247009277, -0.8419560790061951, -0.865914523601532, -0.9440307021141052, -0.9352589249610901]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.9228724837303162, -0.8983252644538879, -0.9259223341941833, -0.8785193562507629, -1.000189185142517, -0.9422913193702698, -0.9373944997787476, -0.9352526068687439, -0.9578021168708801, -0.9365344047546387, -0.92865389585495, -0.9816831946372986, -0.9595614671707153, -0.9025176763534546, -1.0210824012756348, -0.9487535953521729, -0.9213788509368896, -0.9773975014686584, -0.9074653387069702, -0.9746538400650024, -0.946222722530365, -0.9653218388557434, -0.9974967837333679, -1.039190411567688, -0.9925015568733215, -1.0167229175567627, -1.030989408493042, -1.0470201969146729, -1.012848138809204, -0.9067688584327698, -1.0402463674545288, -1.0137470960617065, -0.9623831510543823, -1.0270689725875854, -0.995661199092865, -1.0217889547348022, -0.8737959265708923, -1.0343670845031738, -0.9091673493385315, -1.0138055086135864, -0.9559566378593445, -0.9061112999916077, -0.8977800011634827, -0.923965573310852, -0.9523382186889648, -0.9564883708953857, -0.9307480454444885, -0.9640411138534546]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.9006226658821106, -0.8719103932380676, -0.8945396542549133, -0.9188821911811829, -0.8513475060462952, -0.9263811707496643, -0.9117653369903564, -0.9375749826431274, -0.9472029805183411, -0.8307530283927917, -0.910863995552063, -0.9706624150276184, -0.9823254942893982, -0.9922178387641907, -0.9293578267097473, -0.945963442325592, -0.9494546055793762, -0.900950014591217, -0.9560500979423523, -1.0350075960159302, -0.9141247868537903, -1.0026750564575195, -0.9508344531059265, -0.9470567107200623, -0.9770702719688416, -1.015997052192688, -1.0691550970077515, -1.0584001541137695, -1.021108865737915, -0.9818214774131775, -1.0598984956741333, -0.9533595442771912, -1.0684126615524292, -1.0440614223480225, -1.0207873582839966, -1.0031732320785522, -0.9918010830879211, -0.888141930103302, -0.9149131178855896, -0.9461780190467834, -0.9463408589363098, -0.9846300482749939, -0.9407526254653931, -0.9098613858222961, -0.9144781231880188, -0.9235822558403015, -0.9339818358421326, -0.9351457953453064]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.9086912274360657, -0.911931037902832, -0.9201067090034485, -0.8133952021598816, -0.9215537905693054, -0.855198323726654, -0.8849945664405823, -0.8988290429115295, -0.9090463519096375, -0.8811964392662048, -0.8926057815551758, -0.8808786273002625, -0.9161783456802368, -0.9637998342514038, -0.9452090859413147, -0.9144243001937866, -0.9061131477355957, -0.8632417321205139, -0.9347836375236511, -1.006313443183899, -0.9778494238853455, -0.9353500008583069, -0.9201894402503967, -0.8978919982910156, -1.038656234741211, -0.981593132019043, -0.9041985273361206, -0.9727174639701843, -0.9752014875411987, -0.9540128707885742, -0.9788432121276855, -1.0004452466964722, -0.9481052756309509, -0.9648900032043457, -0.9261375665664673, -1.0108110904693604, -1.0011250972747803, -0.93854159116745, -0.8608675003051758, -0.9236996173858643, -0.8475813269615173, -0.8884637355804443, -0.9648682475090027, -0.8913857340812683, -0.8668990135192871, -0.9915410876274109, -0.9002553820610046, -0.935529351234436]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.9438759088516235, -0.9925305247306824, -0.9951937794685364, -0.9347995519638062, -0.827518880367279, -0.9798727631568909, -0.978731632232666, -0.9736847281455994, -0.88506680727005, -0.9008522629737854, -0.9279076457023621, -0.9883994460105896, -1.0353881120681763, -0.9481881856918335, -1.018306851387024, -0.9646856188774109, -0.9960392117500305, -0.9735134243965149, -0.9738953709602356, -0.9388816952705383, -0.9321802854537964, -0.9547507166862488, -0.9821005463600159, -0.9198806881904602, -1.026045322418213, -1.053907871246338, -1.1083606481552124, -1.0160350799560547, -1.035646677017212, -1.0493322610855103, -1.0581251382827759, -1.0769696235656738, -1.0228244066238403, -1.0573385953903198, -1.0411239862442017, -1.0878474712371826, -0.9995177388191223, -0.9950852990150452, -0.9863331913948059, -1.0510739088058472, -0.9322250485420227, -0.9832063913345337, -0.9524072408676147, -0.9406576752662659, -0.9715233445167542, -0.9600772261619568, -0.9067932367324829, -0.9516304731369019]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.8919020295143127, -0.7975571751594543, -0.939846396446228, -0.9117103219032288, -0.8920345902442932, -0.969200074672699, -0.9973607659339905, -0.9531244039535522, -0.8876830339431763, -0.9645517468452454, -0.9892659783363342, -0.9093549847602844, -0.9439890384674072, -0.9946804642677307, -0.9690489172935486, -0.9766706824302673, -0.9179425835609436, -1.054567813873291, -1.0213004350662231, -0.960808515548706, -0.9076144695281982, -0.9726232886314392, -0.9939818978309631, -0.9673812985420227, -1.0185903310775757, -1.0352615118026733, -0.9755528569221497, -1.06869637966156, -1.000045895576477, -1.0336215496063232, -0.9765271544456482, -1.0152816772460938, -1.0082104206085205, -1.0295698642730713, -1.0120152235031128, -0.9957822561264038, -0.953636646270752, -0.9912080764770508, -1.0187361240386963, -0.9296583533287048, -1.05899178981781, -0.9596273899078369, -0.9700732827186584, -0.9852797389030457, -0.9453087449073792, -0.9458125233650208, -1.0182181596755981, -0.9401665329933167]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.8555716872215271, -0.9854317307472229, -0.9156463146209717, -0.934532642364502, -0.9834243059158325, -0.9900969862937927, -0.9199090003967285, -0.9228498935699463, -0.9310359358787537, -0.9379013180732727, -0.9694188833236694, -0.9330388903617859, -1.034925937652588, -0.9627090096473694, -0.9390906691551208, -0.8829145431518555, -1.0391038656234741, -1.0160177946090698, -1.007005214691162, -1.05070960521698, -1.0433870553970337, -0.976276695728302, -0.9878206849098206, -0.9665623903274536, -1.1431206464767456, -1.0695282220840454, -0.9834704995155334, -1.0164347887039185, -1.0505425930023193, -1.0183115005493164, -1.0256046056747437, -0.9844890236854553, -0.9720293283462524, -1.090058445930481, -1.0279606580734253, -1.0595614910125732, -1.0127427577972412, -0.9332817792892456, -1.0684102773666382, -0.9559769034385681, -1.0191932916641235, -0.963093101978302, -0.9290505051612854, -1.0249992609024048, -0.8773501515388489, -0.974762499332428, -0.9027013778686523, -0.9859650731086731]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.8611138463020325, -0.9895666241645813, -0.9601526856422424, -1.0433956384658813, -0.8791940808296204, -0.897698700428009, -0.8935204148292542, -0.9461682438850403, -0.9051702618598938, -0.9464074969291687, -0.9519751667976379, -0.9384840130805969, -0.9770886301994324, -0.97402423620224, -0.9832000732421875, -0.9841483235359192, -0.8560013175010681, -0.9891453385353088, -0.9599459171295166, -0.9221998453140259, -1.0478856563568115, -1.030572533607483, -1.016229510307312, -0.9510615468025208, -1.036993384361267, -1.080344557762146, -1.0290995836257935, -1.0377119779586792, -1.0231152772903442, -0.9876106977462769, -0.9463478922843933, -1.0609999895095825, -0.9977663159370422, -0.9884084463119507, -1.0078942775726318, -0.976240336894989, -0.9338279366493225, -0.9243689179420471, -0.9157180786132812, -0.930270254611969, -0.9332734942436218, -1.0076744556427002, -0.9999968409538269, -0.8675349950790405, -1.0146269798278809, -0.8672649264335632, -0.934217095375061, -0.921347975730896]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.9255931973457336, -0.9050063490867615, -0.9281218647956848, -0.9465586543083191, -0.8933782577514648, -0.9552198648452759, -0.9080010056495667, -0.9555901885032654, -1.0044044256210327, -0.8972148299217224, -0.8829988837242126, -0.9376998543739319, -0.9206334948539734, -0.8453691601753235, -0.9017658233642578, -0.962339460849762, -0.9036040902137756, -0.955620527267456, -0.9108350872993469, -0.9290193915367126, -1.0312405824661255, -0.9592869877815247, -0.8975364565849304, -0.9549388289451599, -1.0540739297866821, -0.9693247079849243, -0.9065021872520447, -1.0312520265579224, -0.9112960696220398, -1.054078459739685, -1.1168864965438843, -1.0316201448440552, -1.0015006065368652, -1.0485347509384155, -0.9978577494621277, -1.0300867557525635, -0.9819754362106323, -0.8387117981910706, -0.863434374332428, -0.9377513527870178, -0.9487717747688293, -0.9806808829307556, -0.9700518250465393, -0.9663376808166504, -0.9392786622047424, -0.8660271763801575, -1.0348767042160034, -0.987336277961731]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.9529158473014832, -0.9284990429878235, -1.0226801633834839, -0.9586730599403381, -0.9033876061439514, -0.8475717902183533, -0.9563009142875671, -0.9963655471801758, -0.904679536819458, -0.9931554198265076, -0.9663872718811035, -1.055032730102539, -1.0057071447372437, -0.9760892987251282, -1.0462206602096558, -0.9550245404243469, -1.0273756980895996, -1.0201243162155151, -0.8802889585494995, -1.0447863340377808, -0.9787144064903259, -1.0225783586502075, -0.988767683506012, -0.9829451441764832, -1.0660513639450073, -0.9826611876487732, -1.0302506685256958, -1.0413535833358765, -1.1545655727386475, -1.0025080442428589, -1.017459511756897, -1.045314908027649, -1.061209797859192, -1.045619010925293, -1.0110079050064087, -1.0213751792907715, -1.041620135307312, -1.0256152153015137, -1.0050920248031616, -1.027591586112976, -1.007987141609192, -0.9788942933082581, -1.0458359718322754, -0.9070122838020325, -0.9308689832687378, -0.933384358882904, -0.9983130097389221, -0.9260565638542175]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
