conv_layer_no,dropout_rate,output,true_val,input
0,0.0,"[-0.9329983592033386, -0.8152428269386292, -0.8077505230903625, -0.8532283902168274, -0.8211463093757629, -0.8204759955406189, -0.7949985861778259, -0.7888338565826416, -0.7681054472923279, -0.8336806893348694, -0.7873618006706238, -0.7603467106819153, -0.8984817862510681, -0.9021499752998352, -0.8100294470787048, -0.7699151039123535, -0.8278278112411499, -0.8015512824058533, -0.7919139862060547, -0.7850365042686462, -0.7688917517662048, -0.7793182134628296, -0.7262164950370789, -0.8198238611221313, -0.8148927688598633, -0.7682673931121826, -0.7738842368125916, -0.8086866736412048, -0.7919204235076904, -0.8062663078308105, -0.8108518719673157, -0.7679481506347656, -0.8371492624282837, -0.8096951842308044, -0.8148322701454163, -0.8595494627952576, -0.7251463532447815, -0.8386239409446716, -0.7551751732826233, -0.770176351070404, -0.7493798136711121, -0.7702473998069763, -0.8362593054771423, -0.700322151184082, -0.7266306281089783, -0.7294646501541138, -0.7231712341308594, -0.7110986709594727]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.9153969883918762, -0.9612309336662292, -0.8747207522392273, -0.8968299627304077, -0.8711254000663757, -0.8912801742553711, -0.817051351070404, -0.8948521018028259, -0.8814525604248047, -0.9383859038352966, -0.9440345764160156, -0.8509937524795532, -0.8884990811347961, -0.854915976524353, -0.8702879548072815, -0.7916184067726135, -0.8607882261276245, -0.9329482913017273, -0.8342463970184326, -0.8537823557853699, -0.8732450604438782, -0.8422514796257019, -0.8702753186225891, -0.9153321385383606, -0.8246151804924011, -0.8327455520629883, -0.8602285981178284, -0.8821349740028381, -0.8624734878540039, -0.8606607913970947, -0.8582483530044556, -0.9034295678138733, -0.8385215997695923, -0.8666889071464539, -0.7514883875846863, -0.8539451360702515, -0.8816579580307007, -0.7621503472328186, -0.7828854322433472, -0.7375174760818481, -0.812021791934967, -0.8341048359870911, -0.7972305417060852, -0.7404493689537048, -0.8025448322296143, -0.7805846929550171, -0.812847375869751, -0.8347998261451721]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.8847923874855042, -0.847842276096344, -0.9208778738975525, -0.888247549533844, -0.8745729923248291, -0.8518297076225281, -0.8987927436828613, -0.8774958252906799, -0.823564887046814, -0.9180657267570496, -0.9409249424934387, -0.9039946794509888, -0.7698895931243896, -0.8462072610855103, -0.8406266570091248, -0.8484572768211365, -0.7650492787361145, -0.8244135975837708, -0.8077164888381958, -0.9275527596473694, -0.8452454805374146, -0.7777931690216064, -0.8311593532562256, -0.8602745532989502, -0.792826235294342, -0.8426488637924194, -0.8955422043800354, -0.8689125776290894, -0.7546023726463318, -0.8044798970222473, -0.912872850894928, -0.8356854915618896, -0.9262353777885437, -0.8842341899871826, -0.8557007312774658, -0.8218520283699036, -0.833818793296814, -0.8095322251319885, -0.8736057877540588, -0.8369203805923462, -0.7843076586723328, -0.8939319849014282, -0.7664997577667236, -0.7550176978111267, -0.7566051483154297, -0.7616637945175171, -0.7771828174591064, -0.7995880246162415]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.8914039134979248, -0.8909663558006287, -0.8848888278007507, -0.8203919529914856, -0.9214881062507629, -0.8820854425430298, -0.8770845532417297, -0.8473073840141296, -0.8288017511367798, -0.8444384932518005, -0.8225955367088318, -0.804581344127655, -0.8700815439224243, -0.8466824889183044, -0.819664716720581, -0.9003479480743408, -0.8778977394104004, -0.8459188342094421, -0.8378112316131592, -0.8435181975364685, -0.83315110206604, -0.7393719553947449, -0.8436058759689331, -0.8183895945549011, -0.7818141579627991, -0.7964131236076355, -0.7652683854103088, -0.832552433013916, -0.7922672629356384, -0.7741346955299377, -0.7688624262809753, -0.8410168290138245, -0.8497664332389832, -0.8386092782020569, -0.8667536973953247, -0.8181692361831665, -0.8169774413108826, -0.7753057479858398, -0.8474510908126831, -0.8041381239891052, -0.7898197174072266, -0.793107807636261, -0.771700918674469, -0.7871412038803101, -0.7399445176124573, -0.8363854289054871, -0.8305426836013794, -0.7746210694313049]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.9002940058708191, -0.9046043753623962, -0.8364577293395996, -0.8323808312416077, -0.802767813205719, -0.8311236500740051, -0.7906365990638733, -0.8127372860908508, -0.8276873230934143, -0.7949830889701843, -0.819245457649231, -0.7916426062583923, -0.7321712374687195, -0.8668672442436218, -0.8466049432754517, -0.8401517271995544, -0.8259139060974121, -0.8066830635070801, -0.7316408157348633, -0.7670782208442688, -0.8082461953163147, -0.7974719405174255, -0.7832736372947693, -0.8594468832015991, -0.8585004210472107, -0.832555890083313, -0.826117217540741, -0.8370463252067566, -0.859677255153656, -0.858681857585907, -0.7795113325119019, -0.8263954520225525, -0.845340371131897, -0.8245968222618103, -0.7933332324028015, -0.8117787837982178, -0.8643382787704468, -0.8503835797309875, -0.7962395548820496, -0.852891206741333, -0.8082686066627502, -0.7923346161842346, -0.7854427695274353, -0.8142765164375305, -0.6947384476661682, -0.8068210482597351, -0.7283019423484802, -0.7209240794181824]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.9348545074462891, -0.8066659569740295, -0.8736743927001953, -0.8326413631439209, -0.8683088421821594, -0.8394275307655334, -0.8239491581916809, -0.8839674592018127, -0.7748256325721741, -0.8751567006111145, -0.7941064834594727, -0.846604585647583, -0.7743919491767883, -0.882462203502655, -0.8257202506065369, -0.8238726854324341, -0.8038316369056702, -0.829610288143158, -0.8343753218650818, -0.7709571719169617, -0.8177646398544312, -0.8802059292793274, -0.8936942219734192, -0.7335143685340881, -0.8427655100822449, -0.8421362042427063, -0.8789030313491821, -0.7505285143852234, -0.7655615210533142, -0.8440777659416199, -0.8325075507164001, -0.8972166180610657, -0.7776274085044861, -0.8084630966186523, -0.7950317859649658, -0.8147932291030884, -0.7674903273582458, -0.7816796898841858, -0.7306223511695862, -0.8103625774383545, -0.8205375075340271, -0.7823129892349243, -0.7726758122444153, -0.7357566356658936, -0.7411519885063171, -0.7471857666969299, -0.7688720226287842, -0.8201118111610413]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.9031208753585815, -0.9807808995246887, -0.9252926707267761, -0.9005818963050842, -0.9633163809776306, -0.908066987991333, -0.8962867259979248, -0.8444830775260925, -0.873224139213562, -0.8714985251426697, -0.9063711762428284, -0.8630308508872986, -0.8700568079948425, -0.8886290192604065, -0.8497433662414551, -0.8669576048851013, -0.8362976312637329, -0.8215323686599731, -0.7755669355392456, -0.8412582278251648, -0.7999598383903503, -0.8318266272544861, -0.820077121257782, -0.8617398142814636, -0.8774567246437073, -0.8706202507019043, -0.8634730577468872, -0.8353819847106934, -0.8325414657592773, -0.8835546374320984, -0.8408730626106262, -0.8323317170143127, -0.8407517075538635, -0.847759485244751, -0.8593034148216248, -0.8495073318481445, -0.846808910369873, -0.8316985368728638, -0.8307671546936035, -0.773353099822998, -0.8230448365211487, -0.8209311366081238, -0.7232301831245422, -0.6955001950263977, -0.7877797484397888, -0.7732334733009338, -0.7525944709777832, -0.8392687439918518]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.9384388327598572, -0.9075591564178467, -0.8723220825195312, -0.8239797949790955, -0.8215486407279968, -0.8583072423934937, -0.9002161026000977, -0.8174063563346863, -0.7890246510505676, -0.837169349193573, -0.7997576594352722, -0.8676844835281372, -0.8490492701530457, -0.8081794381141663, -0.8479296565055847, -0.7049594521522522, -0.7469900846481323, -0.8941859006881714, -0.8407546877861023, -0.8162221908569336, -0.8669645190238953, -0.8232280015945435, -0.9053763747215271, -0.8110206723213196, -0.8528677821159363, -0.8781987428665161, -0.8694883584976196, -0.8272415995597839, -0.8594721555709839, -0.7502357363700867, -0.8086562752723694, -0.8350648283958435, -0.8410384058952332, -0.7917747497558594, -0.8629649877548218, -0.83938068151474, -0.8400858044624329, -0.8662145137786865, -0.8021141290664673, -0.7723771929740906, -0.8059536814689636, -0.7937939763069153, -0.7448321580886841, -0.7589486241340637, -0.781348466873169, -0.713693380355835, -0.786714494228363, -0.8035055994987488]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.9726384282112122, -0.9686235189437866, -0.8328226208686829, -0.8433030247688293, -0.9209198355674744, -0.8371350765228271, -0.9116258025169373, -0.9378952383995056, -0.8133856654167175, -0.9398769736289978, -0.8841578364372253, -0.9199956655502319, -0.7774047255516052, -0.9215484261512756, -0.9115229249000549, -0.8967013955116272, -0.8951690793037415, -0.8349087834358215, -0.8371375203132629, -0.8014942407608032, -0.9063042998313904, -0.8158175349235535, -0.8844918012619019, -0.8695610761642456, -0.8480862975120544, -0.8806101679801941, -0.7956734299659729, -0.8183841109275818, -0.8996763229370117, -0.8186483383178711, -0.8864603042602539, -0.7686349749565125, -0.7128785252571106, -0.8572105765342712, -0.8593469262123108, -0.8339608311653137, -0.8375151753425598, -0.78151935338974, -0.8417574763298035, -0.7752590775489807, -0.8327953219413757, -0.7155649662017822, -0.7612261772155762, -0.7978211641311646, -0.777245044708252, -0.8017313480377197, -0.7867873907089233, -0.7292772531509399]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
0,0.0,"[-0.9262163639068604, -0.8930589556694031, -0.8306324481964111, -0.9047085046768188, -0.875629186630249, -0.8821617960929871, -0.8546085953712463, -0.8927927017211914, -0.884188711643219, -0.867671549320221, -0.8951969146728516, -0.8508049249649048, -0.7700037360191345, -0.816876232624054, -0.8214616775512695, -0.8620862364768982, -0.7907715439796448, -0.8417640328407288, -0.8883715867996216, -0.8547407984733582, -0.8780044913291931, -0.9377296566963196, -0.8240782022476196, -0.8694522976875305, -0.8831977844238281, -0.8483990430831909, -0.7596420049667358, -0.8451095819473267, -0.8491268754005432, -0.8876529335975647, -0.8200599551200867, -0.8083838820457458, -0.8020184636116028, -0.8928466439247131, -0.8554670810699463, -0.8795601725578308, -0.7729408144950867, -0.8919429183006287, -0.7692847847938538, -0.8219163417816162, -0.8271257877349854, -0.8585414886474609, -0.8017258048057556, -0.6628672480583191, -0.896537721157074, -0.8597596883773804, -0.7499587535858154, -0.805253803730011]","[-0.8623045682907104, -0.8853067755699158, -0.8853067755699158, -0.8929378390312195, -0.8699355721473694, -0.831562340259552, -0.8623045682907104, -0.8239312171936035, -0.831562340259552, -0.8085600733757019, -0.8239312171936035, -0.831562340259552, -0.8775666952133179, -0.8775666952133179, -0.9159401059150696, -0.9313111901283264, -0.9159401059150696, -0.8929378390312195, -0.8853067755699158, -0.8775666952133179, -0.8929378390312195, -0.8929378390312195, -0.9159401059150696, -0.9235711097717285, -0.9005688428878784, -0.8929378390312195, -0.9159401059150696, -0.9005688428878784, -0.9005688428878784, -0.8775666952133179, -0.8699355721473694, -0.8393024206161499, -0.8393024206161499, -0.8775666952133179, -0.8623045682907104, -0.8699355721473694, -0.8393024206161499, -0.8699355721473694, -0.9159401059150696, -0.8929378390312195, -0.8085600733757019, -0.7931889295578003, -0.800929069519043, -0.8085600733757019, -0.7931889295578003, -0.7549246549606323, -0.7625556588172913, -0.7089202404022217]",1
