Unnamed: 0,model,operation,parameter,location,corr_value,ause
,informer,noise,0.01,1,-0.070276153878214,0.0613770367455405
,informer,noise,0.05,1,-0.0268412347370891,0.0418768461901756
,informer,noise,0.2,1,0.0690430484176945,0.0461525121232507
,informer,noise,0.01,2,0.0680382823043209,0.0454085738812546
,informer,noise,0.05,2,-0.0804730824568953,0.0473566917527175
,informer,noise,0.2,2,0.0219614063202455,0.0481126143464619
,informer,noise,0.01,3,-0.173795010425648,0.0475939129721864
,informer,noise,0.05,3,0.051703485171121,0.0424451243426944
,informer,noise,0.2,3,-0.1705093214139156,0.0517961325698798
,informer,dropout,0.1,1,0.2143223009993719,0.0405052396151695
,informer,dropout,0.2,1,0.4065265522848934,0.0308350662698542
,informer,dropout,0.5,1,0.0410443917488559,0.0343915205256103
,informer,dropout,0.1,2,0.0515647230049882,0.0424111854513437
,informer,dropout,0.2,2,-0.0905518162927183,0.0445187623865026
,informer,dropout,0.5,2,-0.0192859720113409,0.0420690530516143
,informer,dropout,0.1,3,-0.180645282325058,0.0467684682540529
,informer,dropout,0.2,3,0.0262040582083883,0.036057363597716
,informer,dropout,0.5,3,0.0355634142308595,0.0383738908077285
,transformer,noise,0.01,1,-0.2570313054613272,0.0457319665702089
,transformer,noise,0.05,1,-0.1871041940941261,0.0575527698054331
,transformer,noise,0.2,1,-0.2241655079806593,0.0436144826517698
,transformer,noise,0.01,2,-0.258829872923887,0.0518507596439371
,transformer,noise,0.05,2,-0.4222010469125556,0.0693740977574557
,transformer,noise,0.2,2,-0.2478675467910354,0.0510847284383838
,transformer,noise,0.01,3,-0.2753701141330585,0.0461209771690787
,transformer,noise,0.05,3,-0.166261305420288,0.0469222315454598
,transformer,noise,0.2,3,-0.0723265690944471,0.044371878563005
,transformer,dropout,0.1,1,0.51646292061197,0.0180813107561269
,transformer,dropout,0.2,1,0.3591681159687255,0.0212104610567844
,transformer,dropout,0.5,1,0.215908177272066,0.0321680342197989
,transformer,dropout,0.1,2,0.1588388426809349,0.0189428664201214
,transformer,dropout,0.2,2,0.1036665247449104,0.0332864513768886
,transformer,dropout,0.5,2,0.0464347886648222,0.0320147616909749
,transformer,dropout,0.1,3,-0.0071989843688117,0.0343852845104621
,transformer,dropout,0.2,3,0.0038633378093416,0.0309751839661801
,transformer,dropout,0.5,3,-0.162079459190577,0.044998835635074
,informer,MCdropout,0.1,1,0.2245237253613961,0.0354082236141459
,informer,MCdropout,0.2,1,0.0108422300639375,0.0505005038858338
,informer,MCdropout,0.5,1,0.3745838264988155,0.0476710045241668
,informer,MCdropout,0.1,2,-0.0671236315520346,0.0405759730330188
,informer,MCdropout,0.2,2,-0.0164570177161079,0.0690677238674966
,informer,MCdropout,0.5,2,-0.1819448232208504,0.0594327828526333
,informer,MCdropout,0.1,3,-0.1583072318802751,0.0505566096007363
,informer,MCdropout,0.2,3,0.0499863346926904,0.0439539009929007
,informer,MCdropout,0.5,3,0.2259180283279586,0.0332602807951764
,transformer,MCdropout,0.1,1,0.2605864082106324,0.0408887312569973
,transformer,MCdropout,0.2,1,-0.4260982906063019,0.0602185648192098
,transformer,MCdropout,0.5,1,0.6083472825527795,0.0279514942275689
,transformer,MCdropout,0.1,2,-0.0848635102880244,0.0369232439204305
,transformer,MCdropout,0.2,2,0.3322578837037493,0.031269979534078
,transformer,MCdropout,0.5,2,-0.4032439202443508,0.0538425273533714
,transformer,MCdropout,0.1,3,-0.0560689237255998,0.0388318886945308
,transformer,MCdropout,0.2,3,-0.4316769343957534,0.0617371660676014
,transformer,MCdropout,0.5,3,0.5957336037997212,0.02351057299184215
