Unnamed: 0,model,operation,parameter,location,corr_value,ause
,informer,noise,0.01,1,-0.5583284151151721,0.0701568050906809
,informer,noise,0.05,1,-0.4457974707181555,0.0600840158435094
,informer,noise,0.2,1,-0.2753262350942478,0.0555698405609965
,informer,noise,0.01,2,-0.4142717896071817,0.0629938845104462
,informer,noise,0.05,2,-0.3307164977320372,0.0591969220849413
,informer,noise,0.2,2,-0.1184163572438094,0.0565179470641528
,informer,noise,0.01,3,-0.5281954211509977,0.0684320996044448
,informer,noise,0.05,3,-0.428210085797154,0.0630800641884494
,informer,noise,0.2,3,-0.2238384418367064,0.0513773796223371
,informer,dropout,0.1,1,-0.3251055452284056,0.038389723644047
,informer,dropout,0.2,1,-0.391105591174914,0.0390374213057397
,informer,dropout,0.5,1,-0.1955557670071165,0.0193377992932051
,informer,dropout,0.1,2,-0.2754939340743139,0.03677110447467
,informer,dropout,0.2,2,-0.3797496069448143,0.0382008059999172
,informer,dropout,0.5,2,-0.3036116560717304,0.0382313951489488
,informer,dropout,0.1,3,-0.1533106114376562,0.0230605502755181
,informer,dropout,0.2,3,-0.2116903717670844,0.0262101830743286
,informer,dropout,0.5,3,-0.1481541090286636,0.0204278277826206
,transformer,noise,0.01,1,0.2043401476053762,0.0150300521970436
,transformer,noise,0.05,1,0.1879468742804851,0.013070535517768
,transformer,noise,0.2,1,0.1936981208207235,0.0146850863379551
,transformer,noise,0.01,2,0.1676586321793525,0.0175540482618668
,transformer,noise,0.05,2,0.1697054253678697,0.0167079772233818
,transformer,noise,0.2,2,0.1306848157984486,0.0131917112258157
,transformer,noise,0.01,3,0.1135682868931556,0.0143578809365366
,transformer,noise,0.05,3,-0.1980619843669886,0.0225643477168821
,transformer,noise,0.2,3,0.0910288430952949,0.0140239469477049
,transformer,dropout,0.1,1,0.4170734977511929,0.0191308166661828
,transformer,dropout,0.2,1,0.4543424489025351,0.0187689490440957
,transformer,dropout,0.5,1,0.231995860625858,0.0223232427367827
,transformer,dropout,0.1,2,0.4584251687655816,0.0195952012510559
,transformer,dropout,0.2,2,0.2329527602079578,0.0219805753576944
,transformer,dropout,0.5,2,0.3511965357589612,0.022656772445009
,transformer,dropout,0.1,3,0.1765412940164129,0.024887131818695
,transformer,dropout,0.2,3,0.3750326972864405,0.021212278564172
,transformer,dropout,0.5,3,0.3487749893254895,0.0194676326856502
,informer,MCdropout,0.1,1,0.4976068896874431,0.0221608545953242
,informer,MCdropout,0.2,1,-0.051077852732806,0.0321167793317045
,informer,MCdropout,0.5,1,0.1087970035355928,0.0373481049284511
,informer,MCdropout,0.1,2,0.0675141179059904,0.0289276996035099
,informer,MCdropout,0.2,2,0.1325234337618785,0.0314774255386127
,informer,MCdropout,0.5,2,-0.2891306862522887,0.0358918663680305
,informer,MCdropout,0.1,3,0.1275391380198166,0.0307635885113255
,informer,MCdropout,0.2,3,-0.0597686856874094,0.0371355236603594
,informer,MCdropout,0.5,3,-0.0829217432312371,0.0434655314159668
,transformer,MCdropout,0.1,1,-0.0298430107691424,0.0183517832228192
,transformer,MCdropout,0.2,1,0.1148252054299447,0.0352329016565834
,transformer,MCdropout,0.5,1,0.0904230153272116,0.0226217758101044
,transformer,MCdropout,0.1,2,0.4080634593200292,0.0181315530391464
,transformer,MCdropout,0.2,2,0.1402484174881139,0.0279632027022407
,transformer,MCdropout,0.5,2,0.2892199294672521,0.0289245136124515
,transformer,MCdropout,0.1,3,-0.1853226754662593,0.0192638122424955
,transformer,MCdropout,0.2,3,-0.2012343954208476,0.0490887933284197
,transformer,MCdropout,0.5,3,-0.02812668076869288,0.01395713527984846
