conv_layer_no,dropout_rate,output,true_val,setting,input_range
0,0.5,"[-1.0551904, -1.0470117, -1.0439428, -1.0959305, -1.0834763, -1.1467234, -0.953561, -1.0351442, -0.9742175, -1.0751771, -1.0931629, -1.0075902, -1.0581987, -1.0834308, -0.95357716, -1.0528395, -1.1123353, -1.0521606, -1.0834415, -1.1249918, -1.1224318, -1.1059264, -1.0720636, -1.0858254]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.5,"[0, 1]"
0,0.5,"[-1.0431104, -1.0642928, -1.1242309, -1.1272603, -1.0453255, -1.0875046, -0.97769034, -1.0582596, -0.8965345, -0.99701965, -0.97458005, -1.0455319, -1.0029086, -0.98017454, -1.0544018, -1.1461186, -1.038301, -1.016378, -1.0731157, -1.0666251, -1.166323, -1.0759426, -1.1044639, -1.1449527]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.5,"[0, 1]"
0,0.5,"[-1.1167501, -1.0620811, -1.0684019, -1.1667427, -1.0900908, -1.2149657, -1.0424874, -1.07048, -1.0853468, -1.0971082, -1.1101594, -1.1611222, -1.1164718, -1.0631865, -1.1200246, -1.1977203, -1.1843891, -1.1176624, -1.1360734, -1.0675857, -1.1902814, -1.1179916, -1.0954592, -1.1774461]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.5,"[0, 1]"
0,0.5,"[-0.98437905, -1.1211824, -1.1133077, -1.0443527, -1.1321043, -1.168343, -0.9967574, -1.0309553, -1.0157939, -1.0530689, -1.0344515, -1.0585023, -1.0464367, -1.1241039, -1.0037929, -1.0873301, -1.0693246, -1.118616, -1.0363591, -1.0414451, -1.0859239, -1.1316005, -1.0421616, -1.1937702]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.5,"[0, 1]"
0,0.5,"[-1.1239806, -1.1479332, -1.0415797, -1.0516168, -1.0762233, -1.1205602, -1.0914316, -1.0639675, -1.0009419, -1.0591573, -0.97634876, -1.073676, -0.99394107, -1.0684775, -1.0389578, -1.100977, -1.1051172, -1.0577935, -1.173482, -1.0970374, -1.1040071, -1.0864266, -1.0585293, -1.1671202]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.5,"[0, 1]"
0,0.5,"[-1.1483756, -1.024933, -1.0689155, -1.0790576, -1.098491, -1.1706282, -0.94147265, -0.9963715, -0.99028456, -1.0448992, -1.0462958, -1.0241767, -1.008312, -1.0114325, -0.9972483, -1.1080319, -0.9955623, -1.0933484, -1.093738, -1.1202406, -1.0894412, -1.1159401, -1.103841, -1.0806637]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.5,"[0, 1]"
0,0.5,"[-1.0098827, -0.95673686, -1.0965225, -1.0913864, -1.0771403, -1.0754756, -1.0282522, -0.91313064, -1.0055329, -0.9912647, -0.95234114, -0.95186096, -0.9984008, -1.0389992, -0.98556435, -0.9775623, -1.0810533, -1.0778921, -1.0505475, -1.1188074, -1.0176892, -1.0650338, -1.055123, -1.1418337]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.5,"[0, 1]"
0,0.5,"[-1.005948, -1.0604422, -1.1091386, -1.0809909, -1.1555293, -1.1239307, -0.9372997, -0.96716, -1.0279169, -0.9723708, -0.9804049, -1.0288153, -1.0774882, -1.0307062, -0.97169656, -1.0278625, -1.0743668, -1.028053, -1.0758107, -1.0305791, -1.0521739, -1.0947963, -1.0581337, -1.0781881]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.5,"[0, 1]"
0,0.5,"[-1.0497239, -1.0877295, -1.0831279, -0.99179524, -1.1233367, -1.129142, -1.0385727, -1.0063578, -1.0092076, -1.0520281, -1.0454385, -1.031953, -1.01356, -1.0558982, -0.9507443, -1.0731255, -1.0987294, -1.0751902, -1.1398337, -1.126755, -1.0621624, -1.1695341, -1.1341628, -1.0949215]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.5,"[0, 1]"
0,0.5,"[-0.93541324, -1.0370921, -1.0688574, -0.9525094, -1.1684167, -1.1202161, -0.97858423, -0.9853201, -1.0062712, -1.0104107, -1.0667478, -1.017378, -1.0190462, -1.0062606, -0.97601914, -1.1384422, -1.137737, -1.0940552, -1.081043, -1.0973988, -1.0342563, -1.1116405, -0.9712889, -1.1085564]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",informer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.5,"[0, 1]"
