location,sigma,pred_len,mae,mse
0,0.0,24,0.06092687,0.0069916225
1,0.05,24,0.0650826171040535,0.0074325180612504
2,0.05,24,0.0608719699084758,0.0067841988056898
3,0.05,24,0.0645453929901123,0.0065136193297803
0,0.0,48,0.1070657297968864,0.0145339369773864
1,0.05,48,0.0946506857872009,0.0118734398856759
2,0.05,48,0.0869915187358856,0.0107520930469036
3,0.05,48,0.1109310984611511,0.0153773725032806
0,0.0,96,0.0724218040704727,0.0120394574478268
1,0.05,96,0.0761104747653007,0.0128555642440915
2,0.05,96,0.0659907832741737,0.0107271820306777
3,0.05,96,0.0730796828866005,0.011119693517684937
