conv_layer_no,dropout_rate,output,true_val,setting,input_range
0,0.2,"[-0.9477515, -0.89193344, -0.8964555, -0.90141714, -0.9622457, -0.88432515, -0.9245849, -0.87674904, -0.81930673, -0.89913976, -0.89655346, -0.9320085, -0.84988606, -0.91785836, -0.9141082, -0.92937547, -0.8726549, -0.9007199, -0.87222254, -0.88224804, -0.8886666, -0.9130469, -0.91733235, -0.8836064]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.2,"[0, 1]"
0,0.2,"[-0.96817297, -0.9094541, -0.92830515, -0.9212742, -0.91845226, -0.81317586, -0.86967236, -0.9374232, -0.9268998, -0.87966156, -0.9008531, -0.94260395, -0.9376214, -0.9732199, -0.91096634, -0.9478543, -0.91591805, -0.9411715, -0.8945727, -0.89090914, -0.9146403, -0.90460694, -0.9448796, -0.91799587]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.2,"[0, 1]"
0,0.2,"[-1.0039616, -0.8742478, -0.91770256, -0.91985285, -0.9055546, -0.9320607, -0.93954104, -0.89471775, -0.932814, -0.8975835, -0.89455336, -0.8853706, -0.9552658, -0.9431907, -0.92429966, -0.9039818, -0.9529278, -0.8990654, -0.93715155, -0.93356335, -0.8870271, -0.9244915, -0.874185, -0.83140236]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.2,"[0, 1]"
0,0.2,"[-0.9295233, -0.9112574, -0.87636185, -0.8996636, -0.8775568, -0.85297644, -0.8803084, -0.87501264, -0.9058558, -0.9415038, -0.8444124, -0.8876378, -0.84997237, -0.8422282, -0.86711013, -0.8689563, -0.89118963, -0.886744, -0.9053158, -0.8927825, -0.91439396, -0.91290295, -0.8792341, -0.93223435]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.2,"[0, 1]"
0,0.2,"[-0.9710149, -0.88642216, -0.9849503, -0.90733296, -0.8717904, -0.86647296, -0.9481358, -0.9448044, -0.86704415, -0.900454, -0.9769183, -0.9014969, -0.92878383, -0.87205845, -0.89638865, -0.9142772, -0.9148989, -0.88516766, -0.9644909, -0.92794245, -0.9232506, -0.89059216, -0.91984564, -0.9605513]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.2,"[0, 1]"
0,0.2,"[-0.91678584, -0.8637545, -0.8772984, -0.9301302, -0.85751253, -0.85944366, -0.87569, -0.85718614, -0.86601853, -0.8861503, -0.8483641, -0.8792258, -0.8969172, -0.89822525, -0.8818434, -0.8584833, -0.924376, -0.8856506, -0.923162, -0.8982483, -0.844659, -0.9117837, -0.9303989, -0.9560009]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.2,"[0, 1]"
0,0.2,"[-0.90352947, -0.9186858, -0.8664531, -0.8453152, -0.8619645, -0.9127506, -0.8455686, -0.8374193, -0.8922624, -0.8460585, -0.88991016, -0.9092355, -0.877956, -0.9310921, -0.8314858, -0.94046414, -0.9177288, -0.8895942, -0.87301475, -0.9442063, -0.91535425, -0.85834414, -0.916858, -0.839136]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.2,"[0, 1]"
0,0.2,"[-0.9072294, -0.9126045, -0.90777516, -0.9653292, -0.8913749, -0.88812494, -0.8466318, -0.8695453, -0.8674488, -0.9004104, -0.9285766, -0.91897225, -0.86025715, -0.933076, -0.9305118, -0.9014587, -0.91025484, -0.8516139, -0.9477155, -0.89725757, -0.90372765, -0.89887714, -0.8881659, -0.97760385]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.2,"[0, 1]"
0,0.2,"[-0.8820974, -0.85927254, -0.916531, -0.9816354, -0.8668933, -0.84396476, -0.91007626, -0.86287284, -0.8601555, -0.8959432, -0.928913, -0.94301784, -0.8457214, -0.90920436, -0.86882424, -0.92005825, -0.858866, -0.90811235, -0.9275918, -0.89391375, -0.99301946, -0.8880871, -0.9375711, -0.8855188]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.2,"[0, 1]"
0,0.2,"[-0.88194007, -0.85068923, -0.91239685, -0.94413406, -0.89996564, -0.86022747, -0.86179596, -0.87424743, -0.7947858, -0.8644896, -0.88635737, -0.8677817, -0.8256843, -0.8411773, -0.8701455, -0.9327794, -0.842102, -0.89527756, -0.86315787, -0.83724594, -0.8875798, -0.90296614, -0.81933737, -0.8807042]","[-0.86230457, -0.8853068, -0.8853068, -0.89293784, -0.8699356, -0.83156234, -0.86230457, -0.8239312, -0.83156234, -0.8085601, -0.8239312, -0.83156234, -0.8775667, -0.8775667, -0.9159401, -0.9313112, -0.9159401, -0.89293784, -0.8853068, -0.8775667, -0.89293784, -0.89293784, -0.9159401, -0.9235711]",transformer_ETTm1_ftS_sl96_ll48_pl24_dm512_nh8_el4_dl2_df2048_atprob_fc5_ebtimeF_dtTrue_mxTrue_test_0_mcdrop_1_rate_0.2,"[0, 1]"
